,Longitude,Latitude,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
4191,-115.58395303459514,32.67455582259324,1.0,110434.0,14.562700000000001,14.562700000000001,El Centro,"(32.7865, -115.5595)",[14.562700000000001],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4192,-115.5408079205436,32.81143462350968,1.0,110434.0,5.0154,5.0154,El Centro,"(32.7865, -115.5595)",[5.0154],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4193,-115.47609024946628,35.56856475625507,1.0,361831.0,410.875,410.875,Indio,"(33.7346, -116.2346)",[410.875],[361831],['Indio'],"[(33.7346, -116.2346)]",
4194,-115.4545176924405,35.52945652742181,1.0,361831.0,408.7793,408.7793,Indio,"(33.7346, -116.2346)",[408.7793],[361831],['Indio'],"[(33.7346, -116.2346)]",
4195,-115.43294513541473,35.58811887067171,1.0,361831.0,408.53520000000003,408.53520000000003,Indio,"(33.7346, -116.2346)",[408.53520000000003],[361831],['Indio'],"[(33.7346, -116.2346)]",
4196,-115.38980002136316,33.82824857317465,1.0,361831.0,95.1779,95.1779,Indio,"(33.7346, -116.2346)",[95.1779],[361831],['Indio'],"[(33.7346, -116.2346)]",
4197,-114.91520376679614,33.57404508575841,1.0,110434.0,188.341,188.341,El Centro,"(32.7865, -115.5595)",[188.341],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4198,-114.89363120977036,33.57404508575841,1.0,110434.0,185.94379999999998,185.94379999999998,El Centro,"(32.7865, -115.5595)",[185.94379999999998],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4199,-114.74262331058992,33.59359920017504,1.0,110434.0,169.1449,169.1449,El Centro,"(32.7865, -115.5595)",[169.1449],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4200,-115.73496093377555,33.24162514067563,1.0,110434.0,72.21910000000001,72.21910000000001,El Centro,"(32.7865, -115.5595)",[72.21910000000001],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4201,-117.35290271070866,33.65226154342494,1.0,101089.0,24.649900000000002,24.649900000000002,Menifee,"(33.6909, -117.1849)",[24.649900000000002],[101089],['Menifee'],"[(33.6909, -117.1849)]",
4202,-122.24987315555948,37.660854998834914,2.0,528724.0,14.783,17.982,San Leandro,"(37.7074, -122.1599)","[14.783, 17.982]","[91176, 437548]","['San Leandro', 'Oakland']","[(37.7074, -122.1599), (37.7904, -122.2166)]",
4203,-120.58878626457484,34.53219669217347,1.0,142230.0,74.61189999999999,74.61189999999999,Santa Maria,"(34.9333, -120.4431)",[74.61189999999999],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4204,-115.7133883767498,33.319841598342165,1.0,110434.0,83.6195,83.6195,El Centro,"(32.7865, -115.5595)",[83.6195],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4205,-122.42245361176568,37.973720829501055,1.0,115677.0,12.9045,12.9045,Richmond,"(37.9477, -122.3389)",[12.9045],[115677],['Richmond'],"[(37.9477, -122.3389)]",
4206,-124.25612095895652,40.750405076663085,1.0,121498.0,273.0073,273.0073,Redding,"(40.5698, -122.365)",[273.0073],[121498],['Redding'],"[(40.5698, -122.365)]",
4207,-123.06963032253891,38.24747843133393,1.0,314196.0,43.4409,43.4409,Santa Rosa,"(38.4458, -122.7067)",[43.4409],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
4208,-123.22063822171934,39.75314524141475,1.0,112132.0,192.44879999999998,192.44879999999998,Chico,"(39.7578, -121.8161)",[192.44879999999998],[112132],['Chico'],"[(39.7578, -121.8161)]",
4209,-121.818422015044,36.82002807891965,1.0,116189.0,28.975900000000003,28.975900000000003,Seaside,"(36.6224, -121.8199)",[28.975900000000003],[116189],['Seaside'],"[(36.6224, -121.8199)]",
4210,-123.71680703331216,39.049197122415926,1.0,314196.0,148.8701,148.8701,Santa Rosa,"(38.4458, -122.7067)",[148.8701],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
