Latitude,Longitude,Solar_farm_present,State
40.20743274806382,-124.36136888868832,,CA
40.30599338537595,-124.36136888868832,,CA
40.404554022688075,-124.36136888868832,,CA
40.5031146600002,-124.36136888868832,,CA
40.601675297312326,-124.36136888868832,,CA
41.78440294505782,-124.36136888868832,,CA
41.882963582369946,-124.36136888868832,,CA
40.20743274806382,-124.25263448509376,,CA
40.30599338537595,-124.25263448509376,,CA
40.404554022688075,-124.25263448509376,,CA
40.5031146600002,-124.25263448509376,,CA
40.601675297312326,-124.25263448509376,,CA
40.700235934624445,-124.25263448509376,,CA
40.79879657193658,-124.25263448509376,,CA
41.78440294505782,-124.25263448509376,,CA
41.882963582369946,-124.25263448509376,,CA
41.98152421968207,-124.25263448509376,,CA
40.1088721107517,-124.1439000814992,,CA
40.20743274806382,-124.1439000814992,,CA
40.30599338537595,-124.1439000814992,,CA
40.404554022688075,-124.1439000814992,,CA
40.5031146600002,-124.1439000814992,,CA
40.601675297312326,-124.1439000814992,,CA
40.700235934624445,-124.1439000814992,,CA
40.79879657193658,-124.1439000814992,,CA
40.897357209248696,-124.1439000814992,,CA
40.99591784656082,-124.1439000814992,1.0,CA
41.09447848387295,-124.1439000814992,,CA
41.19303912118507,-124.1439000814992,,CA
41.2915997584972,-124.1439000814992,,CA
41.48872103312145,-124.1439000814992,,CA
41.58728167043357,-124.1439000814992,,CA
41.6858423077457,-124.1439000814992,,CA
41.78440294505782,-124.1439000814992,,CA
41.882963582369946,-124.1439000814992,,CA
41.98152421968207,-124.1439000814992,,CA
40.01031147343957,-124.03516567790464,,CA
40.1088721107517,-124.03516567790464,,CA
40.20743274806382,-124.03516567790464,,CA
40.30599338537595,-124.03516567790464,,CA
40.404554022688075,-124.03516567790464,,CA
40.5031146600002,-124.03516567790464,,CA
40.601675297312326,-124.03516567790464,,CA
40.700235934624445,-124.03516567790464,,CA
40.79879657193658,-124.03516567790464,,CA
40.897357209248696,-124.03516567790464,,CA
40.99591784656082,-124.03516567790464,,CA
41.09447848387295,-124.03516567790464,,CA
41.19303912118507,-124.03516567790464,,CA
41.2915997584972,-124.03516567790464,,CA
41.390160395809325,-124.03516567790464,,CA
41.48872103312145,-124.03516567790464,,CA
41.58728167043357,-124.03516567790464,,CA
41.6858423077457,-124.03516567790464,,CA
41.78440294505782,-124.03516567790464,,CA
41.882963582369946,-124.03516567790464,,CA
41.98152421968207,-124.03516567790464,,CA
39.81319019881532,-123.92643127431008,,CA
39.911750836127446,-123.92643127431008,,CA
40.01031147343957,-123.92643127431008,,CA
40.1088721107517,-123.92643127431008,,CA
40.20743274806382,-123.92643127431008,,CA
40.30599338537595,-123.92643127431008,,CA
40.404554022688075,-123.92643127431008,,CA
40.5031146600002,-123.92643127431008,,CA
40.601675297312326,-123.92643127431008,,CA
40.700235934624445,-123.92643127431008,,CA
40.79879657193658,-123.92643127431008,,CA
40.897357209248696,-123.92643127431008,,CA
40.99591784656082,-123.92643127431008,,CA
41.09447848387295,-123.92643127431008,,CA
41.19303912118507,-123.92643127431008,,CA
41.2915997584972,-123.92643127431008,,CA
41.390160395809325,-123.92643127431008,,CA
41.48872103312145,-123.92643127431008,,CA
41.58728167043357,-123.92643127431008,,CA
41.6858423077457,-123.92643127431008,,CA
41.78440294505782,-123.92643127431008,,CA
41.882963582369946,-123.92643127431008,,CA
41.98152421968207,-123.92643127431008,,CA
39.22182637494257,-123.81769687071552,,CA
39.3203870122547,-123.81769687071552,,CA
39.418947649566825,-123.81769687071552,,CA
39.51750828687895,-123.81769687071552,,CA
39.616068924191076,-123.81769687071552,,CA
39.7146295615032,-123.81769687071552,,CA
39.81319019881532,-123.81769687071552,,CA
39.911750836127446,-123.81769687071552,,CA
40.01031147343957,-123.81769687071552,,CA
40.1088721107517,-123.81769687071552,,CA
40.20743274806382,-123.81769687071552,,CA
40.30599338537595,-123.81769687071552,,CA
40.404554022688075,-123.81769687071552,,CA
40.5031146600002,-123.81769687071552,,CA
40.601675297312326,-123.81769687071552,,CA
40.700235934624445,-123.81769687071552,,CA
40.79879657193658,-123.81769687071552,,CA
40.897357209248696,-123.81769687071552,,CA
40.99591784656082,-123.81769687071552,,CA
41.09447848387295,-123.81769687071552,,CA
41.19303912118507,-123.81769687071552,,CA
41.2915997584972,-123.81769687071552,,CA
41.390160395809325,-123.81769687071552,,CA
41.48872103312145,-123.81769687071552,,CA
41.58728167043357,-123.81769687071552,,CA
41.6858423077457,-123.81769687071552,,CA
41.78440294505782,-123.81769687071552,,CA
41.882963582369946,-123.81769687071552,,CA
41.98152421968207,-123.81769687071552,,CA
38.82758382569408,-123.70896246712095,,CA
38.926144463006196,-123.70896246712095,,CA
39.02470510031832,-123.70896246712095,,CA
39.12326573763045,-123.70896246712095,,CA
39.22182637494257,-123.70896246712095,,CA
39.3203870122547,-123.70896246712095,,CA
39.418947649566825,-123.70896246712095,,CA
39.51750828687895,-123.70896246712095,,CA
39.616068924191076,-123.70896246712095,,CA
39.7146295615032,-123.70896246712095,,CA
39.81319019881532,-123.70896246712095,,CA
39.911750836127446,-123.70896246712095,,CA
40.01031147343957,-123.70896246712095,,CA
40.1088721107517,-123.70896246712095,,CA
40.20743274806382,-123.70896246712095,,CA
40.30599338537595,-123.70896246712095,,CA
40.404554022688075,-123.70896246712095,,CA
40.5031146600002,-123.70896246712095,,CA
40.601675297312326,-123.70896246712095,,CA
40.700235934624445,-123.70896246712095,,CA
40.79879657193658,-123.70896246712095,,CA
40.897357209248696,-123.70896246712095,,CA
40.99591784656082,-123.70896246712095,,CA
