Latitude,Longitude,solar_farm_present
36.17760086,-120.1090012,1
33.26520157,-116.3280029,1
34.82300186,-118.3479996,1
34.70740128,-118.3050003,1
34.70859909,-118.2740021,1
36.17580032,-120.1159973,1
34.9034996,-118.2429962,1
36.94100189,-120.0459976,1
32.96709824,-115.5329971,1
35.80120087,-119.1110001,1
34.66559982,-118.288002,1
35.99089813,-120.1070023,1
34.5522995,-117.4570007,1
38.25310135,-121.2789993,1
35.01800156,-118.1719971,1
34.50920105,-117.1539993,1
33.9233017,-116.5950012,1
34.61859894,-117.9400024,1
34.65510178,-118.0510025,1
34.16640091,-116.2360001,1
32.7140007,-115.5410004,1
36.38729858,-119.2549973,1
34.65439987,-117.9710007,1
38.50109863,-121.6930008,1
34.65060043,-118.052002,1
38.23789978,-121.3379974,1
34.64789963,-118.060997,1
36.2118988,-119.1340027,1
38.23189926,-122.0930023,1
33.56520081,-114.9189987,1
34.59429932,-117.1949997,1
38.41090012,-121.9260025,1
33.92300034,-116.5299988,1
34.6012001,-117.6439972,1
34.64379883,-118.1620026,1
36.75960159,-120.3659973,1
35.98519897,-120.1009979,1
34.85359955,-116.6839981,1
32.98329926,-115.4820023,1
34.66899872,-118.060997,1
38.33879852,-121.4309998,1
36.53820038,-119.4260025,1
34.69509888,-118.0630035,1
34.90409851,-118.2509995,1
39.37340164,-121.6839981,1
36.1004982,-119.038002,1
39.37329864,-121.6809998,1
38.4695015,-121.1819992,1
38.46310043,-121.1800003,1
38.4659996,-121.1780014,1
38.28359985,-121.461998,1
38.28210068,-121.4660034,1
34.65439987,-117.9729996,1
33.56850052,-114.9179993,1
33.56689835,-114.9179993,1
32.67570114,-115.5960007,1
35.36859894,-120.0329971,1
35.10400009,-118.9540024,1
34.12799835,-118.2070007,1
34.66500092,-118.2870026,1
34.04330063,-117.0970001,1
34.17409897,-116.1529999,1
34.48009872,-117.2580032,1
34.51229858,-117.4820023,1
34.31949997,-118.4309998,1
35.40280151,-119.038002,1
35.64759827,-119.7160034,1
34.12260056,-117.939003,1
38.40000153,-121.9639969,1
38.65990067,-121.7300034,1
38.51620102,-121.4759979,1
32.7621994,-115.7829971,1
38.36360168,-121.3850021,1
34.39830017,-116.8700027,1
36.395401,-120.1080017,1
36.5237999,-120.1230011,1
37.7364006,-120.987999,1
36.14189911,-120.1330032,1
35.81549835,-119.4509964,1
33.82360077,-115.3939972,1
33.08560181,-115.4720001,1
34.49760056,-117.4710007,1
36.37820053,-120.1240005,1
38.34769821,-121.4110031,1
33.2458992,-115.4950027,1
34.54750061,-117.4410019,1
36.42440033,-120.3410034,1
36.52740097,-120.3130035,1
38.30680084,-121.2919998,1
35.90190125,-119.439003,1
35.90909958,-119.427002,1
34.79650116,-118.5100021,1
35.22969818,-118.1940002,1
34.1711998,-116.1539993,1
34.18989944,-116.0920029,1
36.16339874,-119.6500015,1
36.22129822,-119.8300018,1
36.14210129,-119.572998,1
32.74509811,-115.7269974,1
34.92950058,-118.3330002,1
35.31750107,-119.9260025,1
35.98070145,-120.1019974,1
38.45009995,-121.1640015,1
36.67890167,-119.7979965,1
38.51539993,-121.401001,1
38.56150055,-121.2590027,1
33.59700012,-114.5719986,1
33.59859848,-114.5719986,1
36.50529861,-119.5400009,1
36.26599884,-119.1279984,1
38.13589859,-121.1490021,1
38.12139893,-121.1409988,1
37.63349915,-122.1399994,1
33.89110184,-116.5429993,1
37.89039993,-120.526001,1
38.64410019,-121.1719971,1
34.792099,-118.4349976,1
33.29349899,-116.3519974,1
35.29990005,-118.8460007,1
38.36579895,-121.4140015,1
36.94269943,-120.1589966,1
38.61370087,-121.1620026,1
35.63489914,-117.6520004,1
32.69079971,-115.6439972,1
35.55789948,-120.6819992,1
33.59199905,-114.7419968,1
36.62979889,-120.8909988,1
38.61119843,-121.1679993,1
35.87480164,-119.4520035,1
33.70370102,-114.7649994,1
38.34790039,-121.1119995,1
36.78369904,-119.7139969,1
33.56529999,-114.9039993,1
36.02870178,-119.0739975,1
37.75080109,-122.4840012,1
37.85839844,-120.8949966,1
33.90869904,-116.5599976,1
33.66609955,-114.6569977,1
35.0489006,-118.1640015,1
32.65859985,-115.6689987,1
34.9076004,-117.9209976,1
36.14149857,-119.5820007,1
34.61230087,-117.9400024,1
36.22200012,-119.9100037,1
33.11650085,-116.0019989,1
33.10919952,-116.0029984,1
37.12049866,-120.3249969,1
37.36669922,-121.1520004,1
36.21450043,-119.8069992,1
36.23040009,-119.9120026,1
36.39199829,-120.2429962,1
35.83100128,-119.0500031,1
35.82220078,-119.0400009,1
35.85540009,-119.0690002,1
36.87680054,-120.6679993,1
35.99610138,-120.1520004,1
36.5544014,-120.3389969,1
36.54840088,-120.3460007,1
35.87200165,-120.3389969,1
34.90159988,-119.5910034,1
34.82949829,-118.4710007,1
34.71659851,-118.2919998,1
34.72359848,-118.2919998,1
34.72750092,-118.2959976,1
34.72719955,-118.3130035,1
34.72689819,-118.3030014,1
34.69820023,-118.3379974,1
34.69279861,-118.3280029,1
35.020401,-118.2779999,1
34.72539902,-118.3089981,1
34.61360168,-117.935997,1
35.60879898,-119.8440018,1
34.69630051,-118.0630035,1
34.71210098,-118.2910004,1
34.7118988,-118.2919998,1
33.23289871,-117.0009995,1
34.54449844,-117.1930008,1
34.7010994,-118.125,1
35.14619827,-118.887001,1
36.83190155,-121.4039993,1
34.5503006,-117.1930008,1
36.14749908,-119.5889969,1
34.58340073,-117.3410034,1
38.7743988,-123.0169983,1
34.49639893,-117.1429977,1
33.01070023,-116.8720016,1
34.70890045,-118.1299973,1
38.00170136,-121.7040024,1
34.72140121,-118.310997,1
35.14889908,-118.8850021,1
35.01269913,-118.1829987,1
34.58459854,-117.3420029,1
34.58229828,-117.3420029,1
36.12939835,-119.5419998,1
36.58530045,-120.3840027,1
35.58710098,-115.4280014,1
36.57089996,-120.3990021,1
35.41579819,-119.6289978,1
35.41600037,-119.6380005,1
35.61899948,-119.5690002,1
35.12459946,-119.2409973,1
35.32350159,-118.8209991,1
35.24700165,-118.0350037,1
35.25189972,-118.0250015,1
35.26860046,-118.0149994,1
35.2594986,-117.9990005,1
35.25170136,-117.9570007,1
35.24850082,-118.0090027,1
35.24879837,-117.973999,1
34.59999847,-117.9489975,1
34.77909851,-118.1910019,1
34.04230118,-117.3619995,1
34.09400177,-117.3190002,1
34.47140121,-117.5619965,1
34.76520157,-117.322998,1
34.76679993,-117.322998,1
34.76800156,-117.322998,1
34.70830154,-118.1289978,1
34.70190048,-118.125,1
34.98210144,-117.8919983,1
34.47409821,-117.5630035,1
34.41289902,-117.4690018,1
34.41579819,-117.4700012,1
34.41799927,-117.4700012,1
35.31480026,-118.9889984,1
34.13230133,-118.6999969,1
36.86240005,-121.4290009,1
36.30670166,-119.6289978,1
33.16559982,-115.5319977,1
36.12760162,-120.1419983,1
36.13610077,-119.5589981,1
35.21889877,-119.0790024,1
36.24440002,-119.8300018,1
36.61330032,-120.3830032,1
35.62580109,-119.8539963,1
35.81510162,-119.4599991,1
36.92860031,-120.8050003,1
35.72710037,-119.9059982,1
35.45069885,-119.1269989,1
34.92699814,-118.3570023,1
35.59069824,-119.5759964,1
36.06090164,-119.9449997,1
33.25260162,-115.4980011,1
36.73049927,-120.4150009,1
33.74169922,-117.0110016,1
33.97529984,-117.4059982,1
38.01950073,-121.8639984,1
35.11230087,-119.3270035,1
38.52009964,-121.7399979,1
37.12070084,-121.0390015,1
