,lng,lat,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
951,-120.26519790918825,38.52123603316681,2.0,183430.0,138.87820000000002,143.5203,Arden-Arcade,"(38.6017, -121.3845)","[138.87820000000002, 143.5203]","[95909, 87521]","['Arden-Arcade', 'Citrus Heights']","[(38.6017, -121.3845), (38.6948, -121.288)]",
952,-116.8135887850643,33.280733369508894,1.0,151443.0,53.604800000000004,53.604800000000004,Escondido,"(33.1348, -117.0723)",[53.604800000000004],[151443],['Escondido'],"[(33.1348, -117.0723)]",
953,-123.6736619192606,39.61626644049832,1.0,112132.0,323.044,323.044,Chico,"(39.7578, -121.8161)",[323.044],[112132],['Chico'],"[(39.7578, -121.8161)]",
954,-118.4315305619974,33.82824857317465,1.0,147156.0,7.5806000000000004,7.5806000000000004,Torrance,"(33.8346, -118.3416)",[7.5806000000000004],[147156],['Torrance'],"[(33.8346, -118.3416)]",
955,-122.09886525637906,41.41524496682864,1.0,121498.0,142.269,142.269,Redding,"(40.5698, -122.365)",[142.269],[121498],['Redding'],"[(40.5698, -122.365)]",
956,-121.3869708745285,37.13289390958579,1.0,114461.0,53.3227,53.3227,Gilroy,"(37.0046, -121.5854)",[53.3227],[114461],['Gilroy'],"[(37.0046, -121.5854)]",
957,-114.5268977403322,33.82824857317465,1.0,361831.0,188.13029999999998,188.13029999999998,Indio,"(33.7346, -116.2346)",[188.13029999999998],[361831],['Indio'],"[(33.7346, -116.2346)]",
958,-120.93394717698725,40.14422752974743,1.0,112132.0,139.02620000000002,139.02620000000002,Chico,"(39.7578, -121.8161)",[139.02620000000002],[112132],['Chico'],"[(39.7578, -121.8161)]",
959,-122.33616338366258,40.92639210641279,1.0,121498.0,65.1737,65.1737,Redding,"(40.5698, -122.365)",[65.1737],[121498],['Redding'],"[(40.5698, -122.365)]",
960,-122.29301826961104,38.20837020250067,2.0,268012.0,15.055399999999999,18.2852,Vallejo,"(38.1125, -122.2342)","[15.055399999999999, 18.2852]","[181882, 86130]","['Vallejo', 'Napa']","[(38.1125, -122.2342), (38.2975, -122.301)]",
961,-122.46559872581724,37.973720829501055,1.0,115677.0,24.5685,24.5685,Richmond,"(37.9477, -122.3389)",[24.5685],[115677],['Richmond'],"[(37.9477, -122.3389)]",
962,-120.955519734013,40.1833357585807,1.0,112132.0,135.8135,135.8135,Chico,"(39.7578, -121.8161)",[135.8135],[112132],['Chico'],"[(39.7578, -121.8161)]",
963,-120.04947233893049,34.53219669217347,1.0,198240.0,47.0107,47.0107,Santa Barbara,"(34.4285, -119.7202)",[47.0107],[198240],['Santa Barbara'],"[(34.4285, -119.7202)]",
964,-121.1281001902192,39.557604097248415,1.0,112132.0,93.6708,93.6708,Chico,"(39.7578, -121.8161)",[93.6708],[112132],['Chico'],"[(39.7578, -121.8161)]",
965,-123.06963032253891,41.94320605607776,1.0,121498.0,239.0991,239.0991,Redding,"(40.5698, -122.365)",[239.0991],[121498],['Redding'],"[(40.5698, -122.365)]",
966,-118.02165197850768,34.23888497592396,1.0,110144.0,58.7608,58.7608,El Monte,"(34.0739, -118.0291)",[58.7608],[110144],['El Monte'],"[(34.0739, -118.0291)]",
967,-123.78152470438948,41.80632725516132,1.0,121498.0,388.8992,388.8992,Redding,"(40.5698, -122.365)",[388.8992],[121498],['Redding'],"[(40.5698, -122.365)]",
968,-123.5873716911575,39.3229547242488,1.0,314196.0,165.30970000000002,165.30970000000002,Santa Rosa,"(38.4458, -122.7067)",[165.30970000000002],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
969,-121.818422015044,40.3006604450805,1.0,112132.0,106.0792,106.0792,Chico,"(39.7578, -121.8161)",[106.0792],[112132],['Chico'],"[(39.7578, -121.8161)]",
970,-122.98334009443582,41.96276017049439,1.0,121498.0,238.9184,238.9184,Redding,"(40.5698, -122.365)",[238.9184],[121498],['Redding'],"[(40.5698, -122.365)]",
971,-120.69664904970372,39.831361699081285,1.0,112132.0,167.8619,167.8619,Chico,"(39.7578, -121.8161)",[167.8619],[112132],['Chico'],"[(39.7578, -121.8161)]",
972,-123.54422657710596,39.205630037749,1.0,314196.0,130.5437,130.5437,Santa Rosa,"(38.4458, -122.7067)",[130.5437],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
973,-121.02023740509031,37.0742315663359,1.0,382994.0,78.4293,78.4293,Modesto,"(37.6375, -121.0028)",[78.4293],[382994],['Modesto'],"[(37.6375, -121.0028)]",
974,-121.40854343155428,39.75314524141475,1.0,112132.0,82.619,82.619,Chico,"(39.7578, -121.8161)",[82.619],[112132],['Chico'],"[(39.7578, -121.8161)]",
975,-120.80451183483258,39.16652180891573,1.0,129536.0,107.0547,107.0547,Yuba City,"(39.1357, -121.6383)",[107.0547],[129536],['Yuba City'],"[(39.1357, -121.6383)]",
976,-120.82608439185836,41.2783661659122,1.0,121498.0,191.62439999999998,191.62439999999998,Redding,"(40.5698, -122.365)",[191.62439999999998],[121498],['Redding'],"[(40.5698, -122.365)]",
977,-122.33616338366258,41.20014970824567,1.0,121498.0,86.65180000000001,86.65180000000001,Redding,"(40.5698, -122.365)",[86.65180000000001],[121498],['Redding'],"[(40.5698, -122.365)]",
978,-118.73354636035825,36.76136573566975,1.0,118488.0,119.35810000000001,119.35810000000001,Clovis,"(36.8278, -119.683)",[119.35810000000001],[118488],['Clovis'],"[(36.8278, -119.683)]",
979,-123.37164612089975,39.85091581349792,1.0,112132.0,204.864,204.864,Chico,"(39.7578, -121.8161)",[204.864],[112132],['Chico'],"[(39.7578, -121.8161)]",
980,-121.49483365965736,41.29792028032884,1.0,121498.0,180.4566,180.4566,Redding,"(40.5698, -122.365)",[180.4566],[121498],['Redding'],"[(40.5698, -122.365)]",
981,-118.62568357522936,36.95690687983609,1.0,118488.0,132.4285,132.4285,Clovis,"(36.8278, -119.683)",[132.4285],[118488],['Clovis'],"[(36.8278, -119.683)]",
982,-121.4732611026316,41.55212376774508,1.0,121498.0,198.41029999999998,198.41029999999998,Redding,"(40.5698, -122.365)",[198.41029999999998],[121498],['Redding'],"[(40.5698, -122.365)]",
983,-117.00774179829628,33.00697576767602,1.0,151443.0,22.3259,22.3259,Escondido,"(33.1348, -117.0723)",[22.3259],[151443],['Escondido'],"[(33.1348, -117.0723)]",
984,-121.79684945801822,37.17200213841906,1.0,1729879.0,26.7129,26.7129,San Jose,"(37.3012, -121.848)",[26.7129],[1729879],['San Jose'],"[(37.3012, -121.848)]",
985,-121.21439041832232,39.57715821166504,1.0,112132.0,86.63260000000001,86.63260000000001,Chico,"(39.7578, -121.8161)",[86.63260000000001],[112132],['Chico'],"[(39.7578, -121.8161)]",
986,-120.73979416375526,40.9850544496627,1.0,121498.0,196.49470000000002,196.49470000000002,Redding,"(40.5698, -122.365)",[196.49470000000002],[121498],['Redding'],"[(40.5698, -122.365)]",
987,-123.43636379197709,39.28384649541554,1.0,314196.0,138.6463,138.6463,Santa Rosa,"(38.4458, -122.7067)",[138.6463],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
988,-122.81075963822964,39.06875123683256,1.0,314196.0,106.657,106.657,Santa Rosa,"(38.4458, -122.7067)",[106.657],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
989,-122.6597517390492,41.53256965332845,1.0,121498.0,156.2595,156.2595,Redding,"(40.5698, -122.365)",[156.2595],[121498],['Redding'],"[(40.5698, -122.365)]",
990,-123.65208936223485,41.1023791361625,1.0,121498.0,194.8205,194.8205,Redding,"(40.5698, -122.365)",[194.8205],[121498],['Redding'],"[(40.5698, -122.365)]",
991,-120.76136672078104,36.3898375617537,1.0,199290.0,134.28560000000002,134.28560000000002,Salinas,"(36.6883, -121.6317)",[134.28560000000002],[199290],['Salinas'],"[(36.6883, -121.6317)]",
992,-122.37930849771412,41.1610414794124,1.0,121498.0,84.8477,84.8477,Redding,"(40.5698, -122.365)",[84.8477],[121498],['Redding'],"[(40.5698, -122.365)]",
993,-120.89080206293568,40.49620158924685,1.0,121498.0,162.2672,162.2672,Redding,"(40.5698, -122.365)",[162.2672],[121498],['Redding'],"[(40.5698, -122.365)]",
994,-118.79826403143556,36.58537870592004,1.0,249804.0,84.82560000000001,84.82560000000001,Visalia,"(36.3276, -119.3269)",[84.82560000000001],[249804],['Visalia'],"[(36.3276, -119.3269)]",
995,-123.69523447628636,39.63582055491495,1.0,112132.0,326.171,326.171,Chico,"(39.7578, -121.8161)",[326.171],[112132],['Chico'],"[(39.7578, -121.8161)]",
996,-121.19281786129652,41.063270907329226,1.0,121498.0,141.84539999999998,141.84539999999998,Redding,"(40.5698, -122.365)",[141.84539999999998],[121498],['Redding'],"[(40.5698, -122.365)]",
997,-120.5456411505233,38.57989837641671,2.0,183430.0,93.025,93.7215,Citrus Heights,"(38.6948, -121.288)","[93.025, 93.7215]","[87521, 95909]","['Citrus Heights', 'Arden-Arcade']","[(38.6948, -121.288), (38.6017, -121.3845)]",
998,-121.25753553237384,40.1833357585807,1.0,112132.0,91.0541,91.0541,Chico,"(39.7578, -121.8161)",[91.0541],[112132],['Chico'],"[(39.7578, -121.8161)]",
999,-121.66741411586356,36.99601510866936,1.0,114461.0,9.8094,9.8094,Gilroy,"(37.0046, -121.5854)",[9.8094],[114461],['Gilroy'],"[(37.0046, -121.5854)]",
