lat,lon,slope
37.40517629999997,-122.08476919999998,0
37.84717289999998,-122.27152950000001,1
37.15444970000003,-121.56023010000001,9
38.00698130000003,-122.086832,3
38.08988819999998,-122.14263510000002,2
37.97372949999998,-122.36385039999999,0
38.08629580000004,-122.1396794,1
38.43000169999998,-122.7255246,0
38.459120499999955,-122.7449891,0
38.436029000000005,-122.72238770000001,2
38.48886889999994,-122.7776581,1
38.453198000000036,-122.731544,0
38.42396340000002,-122.7807543,0
38.42710739999999,-122.7856681,1
37.941452099999985,-122.00772500000001,6
39.370373699999995,-123.30247090000002,13
33.837395499999914,-117.3716772,3
33.99447649999988,-117.4297158,3
37.75642025667449,-122.198718031487,0
37.70276560584292,-121.950435688049,8
38.4607367081012,-122.717165162035,1
38.443893374736454,-122.71619959231198,0
38.40246179565177,-122.821371878727,1
38.39354973025957,-122.81977408871899,3
38.40863964964388,-122.826312849093,2
38.40860179979966,-122.820162549308,1
38.445036899958296,-122.730913700277,1
38.426296899967376,-122.74095779990202,1
38.42088629971862,-122.750983569521,0
38.418563549919504,-122.740708624786,1
38.402709474829905,-122.72229002479601,0
36.699290389463364,-121.600316064715,1
33.653555275715696,-116.19613342241202,0
33.65113828931019,-116.14312328958098,0
33.62776314999829,-116.24071769997401,0
33.69292590000002,-116.194270999999,0
34.2441022871913,-118.47766874262399,4
39.65111587389352,-121.6482468678,4
35.2632776920968,-120.70799111287101,8
38.557023130308565,-121.748822494534,0
35.63711617006987,-120.85949296635799,9
35.65110794022537,-120.710920375324,7
36.23029489367904,-121.76639575708657,7
35.68982285633185,-120.59943629425801,8
35.6414436891662,-120.722658147069,20
35.592887273896736,-120.54712270736398,1
35.58650285873795,-120.554042214324,3
35.60990896401968,-120.58708482002501,13
35.571824664503815,-120.59464493427299,1
35.541005741736164,-120.576582985519,9
35.65698762558848,-120.596400315979,1
35.53358262888653,-120.61683999435199,12
35.48630865845163,-120.61289216453001,3
35.506973518643456,-120.65238049361601,2
35.50908574458018,-120.638165066928,15
35.656130064403136,-120.663555649891,0
35.075237304482314,-120.568855457214,5
35.095041757429534,-120.574011582934,3
35.08115871469085,-120.481960826257,3
35.067650530951624,-120.59604733406002,2
35.15966553791094,-120.600470144847,7
37.422233533591154,-122.0861838285,2
35.16704100444554,-120.54365629776001,17
35.5132898776585,-120.533863028517,8
35.50204917878748,-120.52260025772601,3
35.706822904999946,-120.57065258109,6
35.514848384216975,-120.73147969115999,12
35.079859275204704,-120.510695950612,7
35.06562674336982,-120.52086125740202,2
35.05428782334699,-120.52485189711301,5
35.03955258619723,-120.51451332791702,3
35.23976869994122,-120.67862149993202,2
35.253827030171884,-120.762803714927,18
35.22417411259718,-120.649763153833,2
35.13775152577885,-120.55498680945901,3
35.54237359830891,-120.72909063353599,2
35.39786384220905,-120.63140139018199,12
35.420148900670036,-120.618684244011,2
38.479303045695396,-121.47369102248501,0
35.27247229938439,-120.637095127178,16
35.56563908888771,-120.68566126134299,2
35.2592754786228,-120.626978577074,5
35.59230826181081,-120.636164390521,9
35.5829262221781,-120.707851920742,4
35.50318014713567,-120.470165088257,7
35.58459563874579,-120.608184169714,7
35.570844362330014,-120.637960884927,1
35.58808511872479,-120.66903523180102,3
35.742383994139715,-120.570572465161,2
35.71877120866282,-120.57195691516598,2
35.18121569309025,-120.56003492187699,12
38.645396428987326,-121.167423579759,1
37.89223566964468,-122.448683027934,10
35.210566990868905,-120.56055166902202,2
37.28372167151597,-122.054676734355,9
35.19298195091571,-120.710721811342,9
37.41113001881428,-121.98077112618901,0
35.38033927316015,-120.667943947525,7
35.19212508937124,-120.437426192245,8
35.51128838806967,-120.679543539646,9
35.51502408878358,-120.669504809633,3
37.502217598238985,-121.93894151712202,1
35.650342145017376,-120.85820853662301,12
35.09470974362566,-120.610630153319,0
35.49245011908322,-120.6303351051,19
35.49307720332644,-120.646898692663,1
35.47967710891969,-120.58007916357701,9
35.556738922674086,-120.51577167905,1
35.54761159161009,-120.509958373213,10
35.26270313066458,-120.696376870003,1
35.58054093909484,-120.80364535193301,5
35.231997503667046,-120.623081973076,3
35.65689750258152,-120.77719001502199,8
35.48724358812305,-120.881489799373,14
35.405592785713054,-120.80310423273401,8
35.518140096283815,-120.80123227268601,20
35.5357224417347,-120.80301016331201,9
35.67052852875392,-120.56657944330901,3
35.226100853936934,-120.672513585995,5
35.21672412177459,-120.618284809135,1
35.20913725980249,-120.60585500472402,1
