,Longitude,Latitude,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
2579,-121.92628480017288,41.80632725516132,1.0,121498.0,184.2773,184.2773,Redding,"(40.5698, -122.365)",[184.2773],[121498],['Redding'],"[(40.5698, -122.365)]",
2580,-115.43294513541473,35.392577726505365,1.0,361831.0,397.7242,397.7242,Indio,"(33.7346, -116.2346)",[397.7242],[361831],['Indio'],"[(33.7346, -116.2346)]",
2581,-116.85673389911584,35.50990241300517,1.0,389060.0,154.1625,154.1625,Victorville,"(34.5277, -117.3536)",[154.1625],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2582,-115.32508235028584,35.31436126883883,1.0,361831.0,418.6393,418.6393,Indio,"(33.7346, -116.2346)",[418.6393],[361831],['Indio'],"[(33.7346, -116.2346)]",
2583,-120.04947233893049,41.43479908124528,1.0,121498.0,283.52,283.52,Redding,"(40.5698, -122.365)",[283.52],[121498],['Redding'],"[(40.5698, -122.365)]",
2584,-115.26036467920852,34.96238720933942,1.0,361831.0,349.13890000000004,349.13890000000004,Indio,"(33.7346, -116.2346)",[349.13890000000004],[361831],['Indio'],"[(33.7346, -116.2346)]",
2585,-120.82608439185836,40.593972161330015,1.0,121498.0,206.7114,206.7114,Redding,"(40.5698, -122.365)",[206.7114],[121498],['Redding'],"[(40.5698, -122.365)]",
2586,-120.67507649267796,41.82588136957796,1.0,121498.0,274.0075,274.0075,Redding,"(40.5698, -122.365)",[274.0075],[121498],['Redding'],"[(40.5698, -122.365)]",
2587,-118.0000794214819,37.58263854116838,1.0,118488.0,422.6898,422.6898,Clovis,"(36.8278, -119.683)",[422.6898],[118488],['Clovis'],"[(36.8278, -119.683)]",
2588,-115.10935678002812,35.09926601025586,1.0,361831.0,343.641,343.641,Indio,"(33.7346, -116.2346)",[343.641],[361831],['Indio'],"[(33.7346, -116.2346)]",
2589,-116.51157298670346,32.81143462350968,1.0,106043.0,60.8198,60.8198,El Cajon,"(32.8017, -116.9604)",[60.8198],[106043],['El Cajon'],"[(32.8017, -116.9604)]",
2590,-117.1587496974767,35.333915383255466,1.0,389060.0,118.88289999999999,118.88289999999999,Victorville,"(34.5277, -117.3536)",[118.88289999999999],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2591,-116.68415344290965,33.49582862809187,1.0,109376.0,69.0348,69.0348,Temecula,"(33.4928, -117.1315)",[69.0348],[109376],['Temecula'],"[(33.4928, -117.1315)]",
2592,-121.51640621668317,41.82588136957796,1.0,121498.0,251.5555,251.5555,Redding,"(40.5698, -122.365)",[251.5555],[121498],['Redding'],"[(40.5698, -122.365)]",
2593,-115.41137257838896,35.392577726505365,1.0,361831.0,408.8573,408.8573,Indio,"(33.7346, -116.2346)",[408.8573],[361831],['Indio'],"[(33.7346, -116.2346)]",
2594,-121.94785735719864,41.80632725516132,1.0,121498.0,183.0976,183.0976,Redding,"(40.5698, -122.365)",[183.0976],[121498],['Redding'],"[(40.5698, -122.365)]",
2595,-115.64867070567249,35.275253040005566,1.0,361831.0,395.5818,395.5818,Indio,"(33.7346, -116.2346)",[395.5818],[361831],['Indio'],"[(33.7346, -116.2346)]",
2596,-122.3145908266368,41.29792028032884,1.0,121498.0,98.80189999999999,98.80189999999999,Redding,"(40.5698, -122.365)",[98.80189999999999],[121498],['Redding'],"[(40.5698, -122.365)]",
2597,-120.30834302323976,40.37887690274704,1.0,112132.0,195.2061,195.2061,Chico,"(39.7578, -121.8161)",[195.2061],[112132],['Chico'],"[(39.7578, -121.8161)]",
2598,-115.79967860485289,35.25569892558893,1.0,361831.0,398.9769,398.9769,Indio,"(33.7346, -116.2346)",[398.9769],[361831],['Indio'],"[(33.7346, -116.2346)]",
2599,-120.32991558026556,40.10511930091416,1.0,112132.0,214.07729999999998,214.07729999999998,Chico,"(39.7578, -121.8161)",[214.07729999999998],[112132],['Chico'],"[(39.7578, -121.8161)]",
2600,-121.40854343155428,41.64989433982825,1.0,121498.0,218.01229999999998,218.01229999999998,Redding,"(40.5698, -122.365)",[218.01229999999998],[121498],['Redding'],"[(40.5698, -122.365)]",
2601,-120.39463325134288,40.3006604450805,1.0,112132.0,194.39770000000001,194.39770000000001,Chico,"(39.7578, -121.8161)",[194.39770000000001],[112132],['Chico'],"[(39.7578, -121.8161)]",
2602,-120.71822160672949,41.86498959841123,1.0,121498.0,280.444,280.444,Redding,"(40.5698, -122.365)",[280.444],[121498],['Redding'],"[(40.5698, -122.365)]",
2603,-117.67649106609528,35.54901064183844,1.0,389060.0,125.6453,125.6453,Victorville,"(34.5277, -117.3536)",[125.6453],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2604,-118.15108732066231,36.722257506836485,1.0,249804.0,403.3866,403.3866,Visalia,"(36.3276, -119.3269)",[403.3866],[249804],['Visalia'],"[(36.3276, -119.3269)]",
2605,-120.15733512405936,41.53256965332845,1.0,121498.0,268.5408,268.5408,Redding,"(40.5698, -122.365)",[268.5408],[121498],['Redding'],"[(40.5698, -122.365)]",
2606,-118.36681289092006,37.52397619791847,1.0,118488.0,373.8322,373.8322,Clovis,"(36.8278, -119.683)",[373.8322],[118488],['Clovis'],"[(36.8278, -119.683)]",
2607,-120.35148813729133,41.219703822662304,1.0,121498.0,278.0602,278.0602,Redding,"(40.5698, -122.365)",[278.0602],[121498],['Redding'],"[(40.5698, -122.365)]",
2608,-116.85673389911584,35.19703658233903,1.0,389060.0,105.353,105.353,Victorville,"(34.5277, -117.3536)",[105.353],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2609,-120.17890768108512,39.79225347024802,1.0,112132.0,215.1763,215.1763,Chico,"(39.7578, -121.8161)",[215.1763],[112132],['Chico'],"[(39.7578, -121.8161)]",
2610,-118.06479709255922,36.62448693475331,1.0,249804.0,391.4014,391.4014,Visalia,"(36.3276, -119.3269)",[391.4014],[249804],['Visalia'],"[(36.3276, -119.3269)]",
2611,-117.69806362312106,34.53219669217347,1.0,389060.0,38.8733,38.8733,Victorville,"(34.5277, -117.3536)",[38.8733],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2612,-115.41137257838896,35.236144811172295,1.0,361831.0,315.74309999999997,315.74309999999997,Indio,"(33.7346, -116.2346)",[315.74309999999997],[361831],['Indio'],"[(33.7346, -116.2346)]",
2613,-121.0418099621161,41.14148736499577,1.0,121498.0,157.2628,157.2628,Redding,"(40.5698, -122.365)",[157.2628],[121498],['Redding'],"[(40.5698, -122.365)]",
2614,-117.78435385122415,37.21111036725233,1.0,118488.0,442.85490000000004,442.85490000000004,Clovis,"(36.8278, -119.683)",[442.85490000000004],[118488],['Clovis'],"[(36.8278, -119.683)]",
2615,-118.45310311902315,34.94283309492279,1.0,381732.0,54.897800000000004,54.897800000000004,Lancaster,"(34.6935, -118.1753)",[54.897800000000004],[381732],['Lancaster'],"[(34.6935, -118.1753)]",
2616,-121.23596297534807,40.32021455949714,1.0,112132.0,108.678,108.678,Chico,"(39.7578, -121.8161)",[108.678],[112132],['Chico'],"[(39.7578, -121.8161)]",
2617,-115.75653349080136,35.60767298508834,1.0,361831.0,392.79429999999996,392.79429999999996,Indio,"(33.7346, -116.2346)",[392.79429999999996],[361831],['Indio'],"[(33.7346, -116.2346)]",
2618,-120.67507649267796,41.43479908124528,1.0,121498.0,221.1034,221.1034,Redding,"(40.5698, -122.365)",[221.1034],[121498],['Redding'],"[(40.5698, -122.365)]",
2619,-117.89221663635304,37.347989168168766,1.0,118488.0,442.4106,442.4106,Clovis,"(36.8278, -119.683)",[442.4106],[118488],['Clovis'],"[(36.8278, -119.683)]",
2620,-118.62568357522936,37.87595025741789,1.0,118488.0,311.6397,311.6397,Clovis,"(36.8278, -119.683)",[311.6397],[118488],['Clovis'],"[(36.8278, -119.683)]",
2621,-116.59786321480657,36.35072933292044,1.0,389060.0,349.4587,349.4587,Victorville,"(34.5277, -117.3536)",[349.4587],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2622,-117.50391060988908,34.51264257775684,1.0,389060.0,17.2115,17.2115,Victorville,"(34.5277, -117.3536)",[17.2115],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2623,-121.79684945801822,42.00186839932766,1.0,121498.0,207.10670000000002,207.10670000000002,Redding,"(40.5698, -122.365)",[207.10670000000002],[121498],['Redding'],"[(40.5698, -122.365)]",
2624,-121.49483365965736,41.82588136957796,1.0,121498.0,253.1383,253.1383,Redding,"(40.5698, -122.365)",[253.1383],[121498],['Redding'],"[(40.5698, -122.365)]",
2625,-120.04947233893049,41.80632725516132,1.0,121498.0,304.9515,304.9515,Redding,"(40.5698, -122.365)",[304.9515],[121498],['Redding'],"[(40.5698, -122.365)]",
2626,-122.27144571258526,41.76721902632806,1.0,121498.0,167.0425,167.0425,Redding,"(40.5698, -122.365)",[167.0425],[121498],['Redding'],"[(40.5698, -122.365)]",
2627,-120.41620580836864,40.3593227883304,1.0,112132.0,185.5805,185.5805,Chico,"(39.7578, -121.8161)",[185.5805],[112132],['Chico'],"[(39.7578, -121.8161)]",
2628,-116.59786321480657,35.412131840922,1.0,389060.0,134.8222,134.8222,Victorville,"(34.5277, -117.3536)",[134.8222],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2629,-120.78293927780682,41.41524496682864,1.0,121498.0,211.44129999999998,211.44129999999998,Redding,"(40.5698, -122.365)",[211.44129999999998],[121498],['Redding'],"[(40.5698, -122.365)]",
2630,-121.53797877370891,41.0437167929126,1.0,121498.0,122.209,122.209,Redding,"(40.5698, -122.365)",[122.209],[121498],['Redding'],"[(40.5698, -122.365)]",
2631,-120.32991558026556,40.3006604450805,1.0,112132.0,197.8569,197.8569,Chico,"(39.7578, -121.8161)",[197.8569],[112132],['Chico'],"[(39.7578, -121.8161)]",
2632,-118.79826403143556,37.64130088441828,1.0,118488.0,304.38840000000005,304.38840000000005,Clovis,"(36.8278, -119.683)",[304.38840000000005],[118488],['Clovis'],"[(36.8278, -119.683)]",
2633,-120.82608439185836,39.89002404233119,1.0,112132.0,154.19989999999999,154.19989999999999,Chico,"(39.7578, -121.8161)",[154.19989999999999],[112132],['Chico'],"[(39.7578, -121.8161)]",
2634,-121.40854343155428,40.67218861899655,1.0,121498.0,98.9261,98.9261,Redding,"(40.5698, -122.365)",[98.9261],[121498],['Redding'],"[(40.5698, -122.365)]",
2635,-117.71963618014682,34.51264257775684,1.0,389060.0,37.314800000000005,37.314800000000005,Victorville,"(34.5277, -117.3536)",[37.314800000000005],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2636,-117.5902008379922,35.43168595533864,1.0,389060.0,108.774,108.774,Victorville,"(34.5277, -117.3536)",[108.774],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2637,-118.12951476363654,36.74181162125311,1.0,249804.0,405.4056,405.4056,Visalia,"(36.3276, -119.3269)",[405.4056],[249804],['Visalia'],"[(36.3276, -119.3269)]",
2638,-115.23879212218276,35.47079418417191,1.0,361831.0,384.6771,384.6771,Indio,"(33.7346, -116.2346)",[384.6771],[361831],['Indio'],"[(33.7346, -116.2346)]",
2639,-116.92145157019316,35.2948071544222,1.0,389060.0,140.026,140.026,Victorville,"(34.5277, -117.3536)",[140.026],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2640,-121.21439041832232,41.70855668307815,1.0,121498.0,220.6037,220.6037,Redding,"(40.5698, -122.365)",[220.6037],[121498],['Redding'],"[(40.5698, -122.365)]",
2641,-120.39463325134288,40.2419981018306,1.0,112132.0,193.6776,193.6776,Chico,"(39.7578, -121.8161)",[193.6776],[112132],['Chico'],"[(39.7578, -121.8161)]",
2642,-120.00632722487892,40.1833357585807,1.0,112132.0,239.9152,239.9152,Chico,"(39.7578, -121.8161)",[239.9152],[112132],['Chico'],"[(39.7578, -121.8161)]",
2643,-120.24362535216244,40.20288987299733,1.0,112132.0,228.4075,228.4075,Chico,"(39.7578, -121.8161)",[228.4075],[112132],['Chico'],"[(39.7578, -121.8161)]",
2644,-120.6319313786264,41.76721902632806,1.0,121498.0,263.3838,263.3838,Redding,"(40.5698, -122.365)",[263.3838],[121498],['Redding'],"[(40.5698, -122.365)]",
2645,-121.83999457206976,41.29792028032884,1.0,121498.0,145.9814,145.9814,Redding,"(40.5698, -122.365)",[145.9814],[121498],['Redding'],"[(40.5698, -122.365)]",
2646,-117.61177339501796,36.29206698967053,1.0,249804.0,399.8825,399.8825,Visalia,"(36.3276, -119.3269)",[399.8825],[249804],['Visalia'],"[(36.3276, -119.3269)]",
