ac_monthly,poa_monthly,solrad_monthly,dc_monthly,ac_annual,solrad_annual,capacity_factor,latitude,longitude
"[90124.13525513172, 116500.8249419729, 142042.1260050185, 145406.5261380648, 153850.4131605474, 157389.7485309936, 164988.38377593, 164514.9228947923, 151486.0456275047, 145323.2405279929, 106021.658224508, 83551.69146958992]","[109.4070110823117, 145.701977658052, 180.3936393395542, 187.5805866881707, 202.4981451548939, 209.8238685283039, 220.3282009034743, 220.8222868309704, 202.1021775199228, 187.6754675648978, 133.2610015531925, 103.0700454773373]","[3.529258422010054, 5.203642059216143, 5.819149656114653, 6.252686222939023, 6.53219823080303, 6.994128950943463, 7.107361319466914, 7.123299575192592, 6.736739250664093, 6.054047340803153, 4.442033385106416, 3.324840176688301]","[94618.59247819753, 121998.4795294093, 148790.2264733479, 152361.2161879971, 161269.8837603004, 164897.4158697787, 172832.720379528, 172254.4069581605, 158530.2865043281, 152115.414958196, 111117.6498998394, 87814.19334198418]",1621199.716552044,5.759948715828986,18.5068460793613,38.09104551600086,-121.75370434396667
"[83435.5657723509, 108614.2904883136, 143017.9927599313, 149118.1273784292, 155048.7063809058, 154738.4540982489, 163296.8733802272, 168890.9134343056, 159278.7995532734, 149333.3615653521, 103054.3462072265, 95230.8492789545]","[102.732582454375, 135.8822980955997, 182.3777002188679, 191.8953422716291, 206.912527789892, 207.7651190368449, 222.206196292844, 229.2519619207985, 213.8335161188785, 194.6573120382317, 130.5558129130114, 117.7683259478476]","[3.313954272721776, 4.852939217699989, 5.883151619963482, 6.396511409054303, 6.674597670641677, 6.925503967894829, 7.167941815898194, 7.395224578090274, 7.127783870629285, 6.279268130265539, 4.351860430433714, 3.798978256382179]","[87675.08228642984, 113841.4195850213, 149899.9637766756, 156166.508599831, 162515.2296253635, 162148.7243685175, 171079.0712217654, 176792.1660464475, 166609.3124407292, 156244.2644225883, 108055.1624344333, 99976.62050143095]",1633058.280297519,5.847309603306271,18.64221781161555,38.38435723225037,-121.32225320345118
"[78206.88536471261, 75419.72299708497, 112392.8487233645, 126921.1426086577, 142052.7116716197, 148507.3593343316, 163841.9785760471, 165883.6668313824, 150293.9276024807, 127796.5054076867, 91378.09659008583, 71498.39469116883]","[97.75660918743236, 95.07804802691463, 143.6152317054244, 165.6346494682367, 188.3312844607875, 197.8865835944614, 221.2420546507266, 225.57032396084, 202.420052346451, 168.0958312360354, 116.5811755028192, 89.76329490479905]","[3.153439006046205, 3.395644572389808, 4.632749409852401, 5.521154982274557, 6.075202724541531, 6.596219453148714, 7.136840472604085, 7.276462063252904, 6.747335078215033, 5.422446168904368, 3.886039183427306, 2.895590158219324]","[82215.48988423115, 79375.7469613844, 117960.1543624607, 133179.5105152389, 149038.7940773149, 155794.3164451749, 171719.8292986426, 173655.0809607928, 157307.636808874, 133840.482579676, 95958.19665160243, 75233.5743531988]",1454193.240398626,5.228260272739686,16.60037945660524,40.22244398741397,-124.06196794572456
"[146493.639149292, 145827.290637644, 171213.8869150992, 165104.2269417584, 165676.562591228, 152060.3440513088, 149139.4392765722, 159172.4837330489, 158726.0304694363, 165154.8007239964, 144695.7100597738, 132568.9952448446]","[180.0111042703568, 181.4365533782946, 219.0595073834907, 215.735248016931, 220.4527829253243, 209.7554130503678, 208.8853211961337, 220.6690360773068, 214.8684566598803, 216.4420446633995, 180.1086777505079, 160.1764742293218]","[5.806809815172802, 6.479876906367665, 7.066435722048087, 7.191174933897699, 7.1113800943653, 6.991847101678927, 6.738236167617218, 7.118356002493768, 7.162281888662677, 6.982001440754821, 6.003622591683596, 5.166983039655543]","[153438.1522583685, 152769.4129813524, 179492.5826879618, 172762.7988383519, 173484.5424023917, 159391.9208817848, 156401.5543380234, 166695.4326779309, 166118.7966773401, 172681.8565903629, 151322.9076163497, 138698.5341239778]",1855833.409793996,6.651583808699843,21.18531289719179,34.766846065173084,-115.90754138998176
"[111515.6756357151, 113526.884078058, 158439.8317044956, 151744.632050123, 161578.4204126692, 155916.39383000007, 156610.7493410676, 166967.9020998971, 159986.9651640049, 159308.510485787, 133212.6095422309, 112763.8564618949]","[137.3515247050017, 143.1885195790477, 201.6928705509971, 199.388621240695, 215.2828638346261, 213.171886113995, 216.8489247851722, 231.5917925955829, 217.4690864530849, 209.0200823066052, 167.4868445926046, 138.6063318130796]","[4.430694345322636, 5.113875699251705, 6.506221630677325, 6.646287374689835, 6.94460851079439, 7.105729537133167, 6.995126605973298, 7.470702986954288, 7.248969548436162, 6.742583300213069, 5.582894819753486, 4.471171993970309]","[116878.0538940309, 118948.4203479593, 166052.2546806856, 158889.6423971076, 169290.5825201522, 163369.9365016078, 164145.4334055597, 174782.2284621384, 167343.4929872812, 166567.5587485501, 139342.0009532539, 118166.9170710875]",1741572.430805945,6.271572196097473,19.88096382198559,35.56856475625507,-120.1141900100078
"[137445.7601778919, 137112.0831232151, 161834.3100548645, 159529.617921292, 157202.9744883077, 144295.8565838721, 142162.9622369136, 145766.6233346169, 150158.8801605878, 160469.7515684191, 139179.3008314226, 129052.7409985329]","[175.5217160609371, 176.6422237862802, 213.1895859460276, 212.5413884946209, 216.0853181356826, 204.4293659619334, 203.7012762252544, 209.6159263329972, 210.896636203357, 216.827357137929, 179.2431175470071, 161.7597096380288]","[5.66199084067539, 6.308650849510008, 6.877083417613795, 7.084712949820697, 6.970494133409116, 6.814312198731113, 6.571008910492077, 6.761804075257974, 7.029887873445232, 6.994430875417065, 5.974770584900236, 5.218055149613833]","[143791.039953705, 143466.3582502891, 169346.8847936054, 166956.7006740513, 164665.6637346364, 151317.5289332375, 149165.8835765471, 152783.4867502883, 157134.2420394985, 167765.9407054526, 145548.9762403001, 134965.7258655052]",1764210.861479933,6.522266821573879,20.13939339588967,33.00697576767602,-115.3682274643374
"[148179.4622645495, 137191.1070421329, 167675.261398913, 163504.5474586101, 163070.103881751, 152182.3991247156, 151985.2109066546, 159075.1216402896, 163070.9606567724, 168324.6079266348, 144434.7602464322, 140445.827467901]","[183.1890948610207, 172.0535823324176, 216.137790583537, 214.680488411547, 218.7488827291465, 209.5311501000872, 210.936644679996, 221.8685924322572, 220.4229164492159, 221.7824020788846, 184.1667412969603, 171.2346636504116]","[5.909325640678088, 6.144770797586345, 6.972186793017323, 7.1560162803849, 7.056415571907951, 6.984371670002906, 6.804407892903098, 7.157051368782491, 7.347430548307197, 7.154271034802728, 6.138891376565344, 5.523698827432632]","[155507.5030658585, 144210.281613888, 175937.2870770408, 171063.7847153554, 170819.092042715, 159498.7710114949, 159344.6192625652, 166618.4557049379, 170544.1067294937, 175972.0502961592, 151085.8958525923, 146903.5870447473]",1859139.370015358,6.695736483530918,21.22305216912507,34.57130492100674,-117.46076549583752
"[148037.3482970955, 142228.5067119799, 178112.305073589, 166650.0899686198, 165582.9067332951, 151258.5325524843, 147556.3610536434, 156774.293588798, 163412.6032528018, 173806.1855944724, 146494.0043231963, 146083.059288131]","[184.7551201092228, 178.7927329732466, 229.5178582802706, 218.3233637767003, 217.5226685025883, 206.1306967127412, 204.3074228541826, 217.1493503619564, 219.870937010313, 227.1214747182299, 186.4057554215943, 180.1116165186345]","[5.959842584168476, 6.38545474904452, 7.40380188000873, 7.277445459223344, 7.016860274277043, 6.871023223758041, 6.590562027554278, 7.004817753611497, 7.329031233677099, 7.326499184459029, 6.21352518071981, 5.810052145762404]","[154979.5504959773, 149157.9066691085, 186782.997692547, 174545.0366140007, 173387.4460340804, 158540.9655848216, 154756.3846263846, 164218.2601133118, 170972.1055984961, 181653.1375221642, 153321.4888367702, 152932.2319758229]",1885996.196438103,6.765742974688688,21.52963694564044,33.065638110925924,-116.44685531562612
"[83332.95316765251, 93150.12653825953, 126685.0335451657, 141669.4436467878, 151805.6897062042, 155491.5770211864, 164978.4049410412, 166404.7042141426, 158573.7653449202, 147000.544277341, 101387.3225371569, 84076.73565560064]","[102.7878235044614, 117.7973985272423, 162.4390824797637, 183.31849926138, 202.5907762889828, 211.6850063287906, 226.1193388380194, 227.4687290891707, 212.9722440297142, 191.524109938005, 127.2000658400656, 104.2952459185899]","[3.315736242079399, 4.207049947401512, 5.239970402573022, 6.110616642045999, 6.535186331902672, 7.056166877626353, 7.294172220581272, 7.337700938360346, 7.099074800990474, 6.178197094774354, 4.240002194668854, 3.364362771567415]","[87568.00454639229, 97775.29689491213, 132807.919648345, 148470.3527657454, 159157.7049486637, 162928.7447110037, 172822.3749654868, 174219.355700384, 165876.4093096226, 153803.6478126497, 106331.2355400594, 88347.91995793882]",1574556.300595459,5.664853038714305,17.97438699309888,38.65811483408325,-121.25753553237384
"[129577.3805389239, 121523.5315183096, 143080.3785319623, 139184.7952180738, 140714.798823762, 129350.6361805202, 150326.4213710197, 157149.9788247473, 153991.5347008377, 147307.8368655232, 134109.0081790284, 123460.9463979716]","[163.7470779787249, 155.011387347619, 185.1935968441327, 182.8247676377423, 184.9876306023922, 172.2403829331474, 201.5081976850156, 211.1372654379515, 205.7961744633093, 195.060140623878, 171.6726582142918, 153.6062571854878]","[5.282163805765321, 5.536120976700678, 5.973986994972022, 6.094158921258076, 5.967342922657815, 5.741346097771581, 6.500264441452115, 6.8108795302565, 6.85987248211031, 6.292262600770257, 5.722421940476393, 4.955040554370574]","[135602.7256214152, 127207.9468384511, 149990.0079297399, 145839.7016111845, 147640.4661955538, 135826.3371487777, 157630.7338309303, 164600.9089036395, 161119.5980557627, 154109.1146238645, 140307.8020939347, 129261.2314845642]",1669777.247150679,5.977988439046803,19.06138409989364,33.90646503084118,-117.89221663635304
