,X,Y,sol_id,GID_0,panels,panel.area,landscape.area,water,urban,power
0,35.62432928459123,-115.34799718448903,10916,USA,6,1.22727242511988,1.42432433500976,0,0,47.9671006488557
1,37.68505175417948,-105.88489981979211,11003,USA,606,1.24545620859565,1.90113749326552,0,0,48.5651818546251
2,32.6594166668723,-115.65519910784167,11017,USA,8,1.50616531537676,1.59801378987799,0,0,56.9993245299769
3,32.66583084634074,-115.58272498766743,11018,USA,9,1.96252491782674,2.61127700161457,0,0,71.2377989815775
4,32.66837580205608,-115.6558284498562,11019,USA,4,1.13237768811149,1.19487947256994,0,0,44.8226834665243
5,32.69066266776989,-115.59543070167149,11022,USA,10,1.21424706355154,1.2630173701396,0,0,47.5378271447386
6,34.8522257765087,-118.35737254605496,11152,USA,7,1.43822361714853,1.63362875762088,0,0,54.8252306903481
7,34.68898678850267,-118.31019482539438,11154,USA,122,3.12483430004858,11.8935822827674,0,0,105.416459512317
8,34.71896014145873,-118.28618932351482,11155,USA,101,1.35342732783549,4.11942666326491,0,0,52.0889089600046
9,34.826156265125434,-118.4227959572703,11559,USA,11,1.09141882548486,1.53843710928242,0,0,43.4527966129274
10,34.82641469953629,-118.40779822579395,11560,USA,8,1.00236164405118,1.62870862927619,0,0,40.4457123899569
11,34.6601951301126,-118.29665830090046,11562,USA,59,2.35335809445505,4.00404888459445,0,0,83.016041516696
12,44.47255793699714,-95.66239297450271,11563,USA,4730,1.42645670399469,1.6688543903842,0,0,54.4470714646139
13,45.488378503118895,-92.89203344987659,11564,USA,35098,1.81917799192591,2.38354881038928,0,0,66.8279391176839
14,35.3225721169273,-118.81488118433742,11569,USA,27,2.04751145694694,2.56590612087313,0,0,73.8281808559441
15,35.81538940418605,-119.45545503921748,11573,USA,7,1.1021381055789,1.15073968717767,0,0,43.812077980952
16,35.874864865594816,-119.45701561226313,11574,USA,19,1.29473267727105,1.90300271724324,0,0,50.179089954176
17,34.829343222248596,-79.95024329873699,12140,USA,44,1.74353072516401,2.71155513553412,0,0,64.4788655766541
18,26.86440782213034,-81.74005516581298,18871,USA,130,1.1545198064944,1.70179194104072,0,0,45.5599746356129
19,35.36704239451963,-120.02986385098873,19346,USA,6,1.32838252286864,1.32838252286864,0,0,51.2756246381145
20,35.34859169583896,-120.05816870805636,19347,USA,15,1.14224715631381,1.14224715631381,0,0,45.15159617793
21,36.581593251724755,-120.41597108729059,19448,USA,13,2.36620897690545,2.36620897690545,0,0,83.397808250734
22,36.581424678809164,-120.397985404619,19449,USA,11,2.35638776672125,2.35638776672125,0,0,83.1060748161064
23,36.568359852710614,-120.39951963407485,19450,USA,6,1.81016267118844,1.81016267118844,0,0,66.5488060190289
24,36.39373882931366,-120.23973128629207,19453,USA,2,1.94587556163692,1.94587556163692,0,0,70.7282789670037
25,35.37161604877933,-120.05941329732576,19520,USA,240,22.289277096755,22.289277096755,0,0,551.823434149608
26,35.03228200245083,-117.34783399641576,19535,USA,13,4.14075171785235,4.14075171785235,0,0,133.631150129745
27,35.78261298957348,-114.99353287494637,19538,USA,3,1.73184735257626,1.73184735257626,0,0,64.1146460585925
28,35.80161719243071,-114.97652316252282,19539,USA,3,1.37403425747299,1.37403425747299,0,0,52.7563042938908
29,34.783544497544874,-118.41956062225115,19540,USA,185,2.68675440444088,2.68675440444088,0,0,92.8197257363397
