,lng,lat,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
2895,-120.12072714850046,39.81319019881532,6.0,2494952.0,220.6566,261.0912,Chico,"(39.7578, -121.8161)","[220.6566, 237.6115, 240.052, 249.76239999999999, 253.36970000000002, 261.0912]","[112132, 145687, 87521, 129536, 95909, 1924167]","['Chico', 'Roseville', 'Citrus Heights', 'Yuba City', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (38.7703, -121.3196), (38.6948, -121.288), (39.1357, -121.6383), (38.6017, -121.3845), (38.5677, -121.4685)]",
2896,-120.12072714850046,39.911750836127446,6.0,2494952.0,230.5762,284.46209999999996,Yuba City,"(39.1357, -121.6383)","[230.5762, 241.5724, 260.9824, 263.423, 276.7406, 284.46209999999996]","[129536, 112132, 145687, 87521, 95909, 1924167]","['Yuba City', 'Chico', 'Roseville', 'Citrus Heights', 'Arden-Arcade', 'Sacramento']","[(39.1357, -121.6383), (39.7578, -121.8161), (38.7703, -121.3196), (38.6948, -121.288), (38.6017, -121.3845), (38.5677, -121.4685)]",
2897,-120.12072714850046,40.01031147343957,6.0,2494952.0,230.52089999999998,284.4075,Chico,"(39.7578, -121.8161)","[230.52089999999998, 260.9278, 263.3683, 273.0786, 276.6859, 284.4075]","[112132, 145687, 87521, 129536, 95909, 1924167]","['Chico', 'Roseville', 'Citrus Heights', 'Yuba City', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (38.7703, -121.3196), (38.6948, -121.288), (39.1357, -121.6383), (38.6017, -121.3845), (38.5677, -121.4685)]",
2898,-120.12072714850046,40.1088721107517,7.0,2616450.0,227.35170000000002,294.45959999999997,Chico,"(39.7578, -121.8161)","[227.35170000000002, 245.4323, 270.97990000000004, 273.42040000000003, 283.1307, 286.738, 294.45959999999997]","[112132, 121498, 145687, 87521, 129536, 95909, 1924167]","['Chico', 'Redding', 'Roseville', 'Citrus Heights', 'Yuba City', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (40.5698, -122.365), (38.7703, -121.3196), (38.6948, -121.288), (39.1357, -121.6383), (38.6017, -121.3845), (38.5677, -121.4685)]",
2899,-120.12072714850046,40.20743274806382,7.0,2616450.0,230.658,308.76509999999996,Chico,"(39.7578, -121.8161)","[230.658, 248.73860000000002, 285.28540000000004, 287.726, 297.43629999999996, 301.04359999999997, 308.76509999999996]","[112132, 121498, 145687, 87521, 129536, 95909, 1924167]","['Chico', 'Redding', 'Roseville', 'Citrus Heights', 'Yuba City', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (40.5698, -122.365), (38.7703, -121.3196), (38.6948, -121.288), (39.1357, -121.6383), (38.6017, -121.3845), (38.5677, -121.4685)]",
2900,-120.12072714850046,40.30599338537595,7.0,2616450.0,220.1415,320.92440000000005,Chico,"(39.7578, -121.8161)","[220.1415, 238.2221, 290.24809999999997, 297.4448, 299.8853, 313.2029, 320.92440000000005]","[112132, 121498, 129536, 145687, 87521, 95909, 1924167]","['Chico', 'Redding', 'Yuba City', 'Roseville', 'Citrus Heights', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (40.5698, -122.365), (39.1357, -121.6383), (38.7703, -121.3196), (38.6948, -121.288), (38.6017, -121.3845), (38.5677, -121.4685)]",
2901,-120.12072714850046,40.40455402268808,7.0,2616450.0,228.61329999999998,385.10240000000005,Chico,"(39.7578, -121.8161)","[228.61329999999998, 246.69389999999999, 298.7199, 361.6227, 364.06329999999997, 377.3809, 385.10240000000005]","[112132, 121498, 129536, 145687, 87521, 95909, 1924167]","['Chico', 'Redding', 'Yuba City', 'Roseville', 'Citrus Heights', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (40.5698, -122.365), (39.1357, -121.6383), (38.7703, -121.3196), (38.6948, -121.288), (38.6017, -121.3845), (38.5677, -121.4685)]",
2902,-120.12072714850046,40.5031146600002,7.0,2616450.0,219.60920000000002,376.0983,Chico,"(39.7578, -121.8161)","[219.60920000000002, 237.6898, 289.7158, 352.61859999999996, 355.05920000000003, 368.3768, 376.0983]","[112132, 121498, 129536, 145687, 87521, 95909, 1924167]","['Chico', 'Redding', 'Yuba City', 'Roseville', 'Citrus Heights', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (40.5698, -122.365), (39.1357, -121.6383), (38.7703, -121.3196), (38.6948, -121.288), (38.6017, -121.3845), (38.5677, -121.4685)]",
2903,-120.12072714850046,40.601675297312326,7.0,2616450.0,223.8424,380.3315,Chico,"(39.7578, -121.8161)","[223.8424, 241.923, 293.949, 356.85179999999997, 359.29240000000004, 372.61, 380.3315]","[112132, 121498, 129536, 145687, 87521, 95909, 1924167]","['Chico', 'Redding', 'Yuba City', 'Roseville', 'Citrus Heights', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (40.5698, -122.365), (39.1357, -121.6383), (38.7703, -121.3196), (38.6948, -121.288), (38.6017, -121.3845), (38.5677, -121.4685)]",
2904,-120.12072714850046,40.700235934624445,7.0,2616450.0,240.8414,397.3305,Chico,"(39.7578, -121.8161)","[240.8414, 258.922, 310.948, 373.8509, 376.2914, 389.609, 397.3305]","[112132, 121498, 129536, 145687, 87521, 95909, 1924167]","['Chico', 'Redding', 'Yuba City', 'Roseville', 'Citrus Heights', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (40.5698, -122.365), (39.1357, -121.6383), (38.7703, -121.3196), (38.6948, -121.288), (38.6017, -121.3845), (38.5677, -121.4685)]",
2905,-120.12072714850046,40.79879657193658,7.0,2616450.0,264.2532,420.74240000000003,Chico,"(39.7578, -121.8161)","[264.2532, 282.3338, 334.3598, 397.2627, 399.70320000000004, 413.0208, 420.74240000000003]","[112132, 121498, 129536, 145687, 87521, 95909, 1924167]","['Chico', 'Redding', 'Yuba City', 'Roseville', 'Citrus Heights', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (40.5698, -122.365), (39.1357, -121.6383), (38.7703, -121.3196), (38.6948, -121.288), (38.6017, -121.3845), (38.5677, -121.4685)]",
2906,-120.12072714850046,40.897357209248696,7.0,2616450.0,276.62870000000004,433.1178,Chico,"(39.7578, -121.8161)","[276.62870000000004, 294.7093, 346.7353, 409.63809999999995, 412.0787, 425.3963, 433.1178]","[112132, 121498, 129536, 145687, 87521, 95909, 1924167]","['Chico', 'Redding', 'Yuba City', 'Roseville', 'Citrus Heights', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (40.5698, -122.365), (39.1357, -121.6383), (38.7703, -121.3196), (38.6948, -121.288), (38.6017, -121.3845), (38.5677, -121.4685)]",
2907,-120.12072714850046,40.99591784656082,7.0,2616450.0,286.6121,443.1013,Chico,"(39.7578, -121.8161)","[286.6121, 304.6927, 356.7187, 419.6216, 422.0621, 435.3797, 443.1013]","[112132, 121498, 129536, 145687, 87521, 95909, 1924167]","['Chico', 'Redding', 'Yuba City', 'Roseville', 'Citrus Heights', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (40.5698, -122.365), (39.1357, -121.6383), (38.7703, -121.3196), (38.6948, -121.288), (38.6017, -121.3845), (38.5677, -121.4685)]",
2908,-120.12072714850046,41.09447848387295,7.0,2616450.0,317.85240000000005,491.7458,Chico,"(39.7578, -121.8161)","[317.85240000000005, 332.7038, 387.959, 468.2661, 470.7067, 484.0243, 491.7458]","[112132, 121498, 129536, 145687, 87521, 95909, 1924167]","['Chico', 'Redding', 'Yuba City', 'Roseville', 'Citrus Heights', 'Arden-Arcade', 'Sacramento']","[(39.7578, -121.8161), (40.5698, -122.365), (39.1357, -121.6383), (38.7703, -121.3196), (38.6948, -121.288), (38.6017, -121.3845), (38.5677, -121.4685)]",
