,Longitude,Latitude,panels,panel.area,landscape.area,water,urban,power,Address
45,-94.5722984,39.0690151,1,0.0001406266846412,0.0,0,1,,"1006 Linwood Blvd, Kansas City, MO 64109, USA"
46,-94.5929009,39.0498025,1,0.0001406266846412,0.0,0,1,,"520 W 43rd St, Kansas City, MO 64111, USA"
47,-94.5966673,39.0549155,1,0.0001406266846412,0.0,0,1,,"819 W 40th St, Kansas City, MO 64111, USA"
48,-94.6058146,39.0626293,1,0.0001406266846412,0.0,0,1,,"3549 Bell St, Kansas City, MO 64111, USA"
49,-90.260501,38.6422374,1,0.0001406266846412,0.0,0,1,,"4616 Lindell Blvd, St. Louis, MO 63108, USA"
50,-90.2555841,38.6391849,1,0.0001406266846412,0.0,0,1,,"4415R Laclede Ave, St. Louis, MO 63108, USA"
51,-90.1918282,38.6232737,1,0.0001406266846412,0.0,0,1,,"5 Clark Ave, St. Louis, MO 63102, USA"
52,-90.195312,38.6487143,1,0.0001406266846412,0.0,0,1,,"1301 N Market St, St. Louis, MO 63106, USA"
53,-90.2295314,38.6086684,1,0.0001406266846412,0.0,0,1,,"2901-2907 Shenandoah Ave, St. Louis, MO 63104, USA"
54,-90.2271194,38.6040317,1,0.0001406266846412,0.0,0,1,,"2753 Lynch St, St. Louis, MO 63118, USA"
55,-90.219047,38.5980551,1,0.0001406266846412,0.0,0,1,,"3015 Salena St, St. Louis, MO 63118, USA"
56,-90.2208825,38.5939494,1,0.0001406266846412,0.0,0,1,,"3319 Wisconsin Ave, St. Louis, MO 63118, USA"
57,-90.2012816,38.6133597,1,0.0001406266846412,0.0,0,1,,"1408 S 10th St, St. Louis, MO 63104, USA"
58,-90.1956782,38.660414,1,0.0001406266846412,0.0,0,1,,"3500 N 9th St, St. Louis, MO 63147, USA"
59,-95.9079777,41.1382787999999,1,0.0001406266846412,0.0,0,1,,"1019 Parkway Dr, Bellevue, NE 68005, USA"
60,-106.5954109,35.1179751,1,0.0001406266846412,0.0,0,1,,"3106 Montclaire Dr NE, Albuquerque, NM 87110, USA"
61,-115.1685177,36.2600057,1,0.0001406266846412,0.0,0,1,,"1849 Arrow Stone Ct, North Las Vegas, NV 89031, USA"
62,-106.6229841,35.0671748,1,0.0001406266846412,0.0,0,1,,"1212 Wilmoore Dr SE, Albuquerque, NM 87106, USA"
63,-106.6341099,35.0655477,1,0.0001406266846412,0.0,0,1,,"1111 University Blvd SE, Albuquerque, NM 87106, USA"
64,-106.6276965,35.0729014,1,0.0001406266846412,0.0,0,1,,"CNM - Ken Chappy Hall, 901 Buena Vista Dr SE, Albuquerque, NM 87106, USA"
65,-115.1486425,36.1670073,1,0.0001406266846412,0.0,0,1,,"495 S Main St, Las Vegas, NV 89101, USA"
66,-106.6063012,35.1593098,1,0.0001406266846412,0.0,0,1,,"1605 Villa Camilla NE, Albuquerque, NM 87113, USA"
67,-94.5432839,39.0987531,1,0.0001406266846412,0.0,0,1,,"3228a E 12th St, Kansas City, MO 64127, USA"
68,-106.5995004,35.1276011,1,0.0001406266846412,0.0,0,1,,"4000 Hilton Ave NE, Albuquerque, NM 87110, USA"
69,-94.5839315,39.0277229,1,0.0001406266846412,0.0,0,1,,"318 E 55th St, Kansas City, MO 64113, USA"
70,-106.5624108,35.0574714,1,0.0001406266846412,0.0,0,1,,"3C4Q+X2 Kirtland Air Force Base, Albuquerque, NM, USA"
71,-94.535919,39.1061009,1,0.0001406266846412,0.0,0,1,,"3838 Independence Ave, Kansas City, MO 64124, USA"
72,-94.5755797,38.9885957,1,0.0001406266846412,0.0,0,1,,"7621 Troost Ave, Kansas City, MO 64131, USA"
73,-106.5395255,35.0542707,1,0.0001406266846412,0.0,0,1,,"3F36+P5 Kirtland Air Force Base, Albuquerque, NM, USA"
74,-106.5445792,35.0546837,1,0.0001406266846412,0.0,0,1,,"3F34+V5 Kirtland Air Force Base, Albuquerque, NM, USA"
75,-97.2930445,37.723027,1,0.0001406266846412,0.0,0,1,,"2220 N Yale Ave, Wichita, KS 67220, USA"
76,-106.5998361,35.1051159,1,0.0001406266846412,0.0,0,1,,"4130 Morningside Dr, Albuquerque, NM 87110, USA"
77,-97.1608946,46.9928023999998,1,0.0001406266846412,0.0,0,0,,"15779 29th St SE, Casselton, ND 58012, USA"
78,-97.728505,30.3845489999999,1,0.0001406266846412,0.0,0,1,,"2926 Read Granberry Trail, Austin, TX 78758, USA"
79,-106.5645021,35.0844454,1,0.0001406266846412,0.0,0,1,,"617 Espanola St NE, Albuquerque, NM 87108, USA"
80,-106.5636995,35.0705629,1,0.0001406266846412,0.0,0,1,,"501 San Pablo St SE, Albuquerque, NM 87108, USA"
81,-94.5659269,39.1026965,1,0.0001406266846412,0.0,0,1,,"1329 E 9th St, Kansas City, MO 64106, USA"
82,-97.6321324,30.2765398999999,1,0.0001406266846412,0.0,0,1,,"9025 Sun Shower Bend, Austin, TX 78724, USA"
83,-106.5527842,35.0809318,1,0.0001406266846412,0.0,0,1,,"425 Virginia St NE, Albuquerque, NM 87108, USA"
84,-92.2217119,47.5840037999997,1,0.0001406266846412,0.0,0,0,,"HQMH+J8 Hoyt Lakes, MN, USA"
85,-97.9082208,30.3787930999999,1,0.0001406266846412,0.0,0,1,,"13608 Country Lake Dr, Austin, TX 78732, USA"
86,-97.8227618,30.2837179999999,1,0.0001406266846412,0.0,0,0,,"1101 S Capital of Texas Hwy, Austin, TX 78746, USA"
87,-97.6737195,30.4453508999999,1,0.0001406266846412,0.0,0,1,,"15021 Purslane Meadow Trail, Austin, TX 78728, USA"
88,-97.7978602,30.2146237999999,1,0.0001406266846412,0.0,0,1,,"5601 Menchaca Rd, Austin, TX 78745, USA"
89,-97.8074169,30.3297473999999,1,0.0001406266846412,0.0,0,1,,"3111 Cavalcade Ct, Austin, TX 78746, USA"
90,-97.7668475,30.3994306999999,1,0.0001406266846412,0.0,0,1,,"9543 Ketona Cove, Austin, TX 78759, USA"
91,-97.7755576,30.3998027999999,1,0.0001406266846412,0.0,0,1,,"9221 Hurley Cove, Austin, TX 78759, USA"
92,-97.7635655,30.3661085999999,1,0.0001406266846412,0.0,0,1,,"7600 Rustling Cove, Austin, TX 78731, USA"
93,-97.8634402,30.3466646999999,1,0.0001406266846412,0.0,0,1,,"2307 Balboa Rd, Austin, TX 78733, USA"
94,-97.8008049,30.3496696999999,1,0.0001406266846412,0.0,0,0,,"5000 Plaza on the Lake # 170, Austin, TX 78746, USA"
95,-95.6544481,46.9576980999998,1,0.0001406266846412,0.0,0,0,,"X85W+36 Rochert, MN, USA"
96,-97.6445746,30.2920339999999,1,0.0001406266846412,0.0,0,1,,"6004 Perlita Dr, Austin, TX 78724, USA"
97,-96.0041842,47.8445553999996,1,0.0001406266846412,0.0,0,0,,"RXVW+R8 Brooks, MN, USA"
98,-97.7808791,30.2450658999999,1,0.0001406266846412,0.0,0,1,,"2708 S Lamar Blvd, Austin, TX 78704, USA"
