X,Y,sol_id,GID_0,panels,panel.area,landscape.area,water,urban,power
-9935728.53513761,5943800.71273339,1,CAN,1,0.000140626684641233,0,0,0,
-9785040.80701174,5767953.7883615,2,USA,1,0.000140626684641233,0,0,0,
-10191710.9985449,5511198.66329151,3,USA,1,0.000140626684641233,0,0,1,
-10502402.6735757,4716500.32762391,4,USA,1,0.000140626684641233,0,0,1,
-10495262.4758194,4766982.99771279,5,USA,1,0.000140626684641233,0,0,1,
-10470245.5240236,4687780.09382582,6,USA,1,0.000140626684641233,0,0,0,
-10470963.8031457,4785188.90053056,7,USA,1,0.000140626684641233,0,0,1,
-10471352.5731407,4794624.10688932,8,USA,1,0.000140626684641233,0,0,1,
-10496486.8276886,4781402.79700594,9,USA,1,0.000140626684641233,0,0,1,
-10471289.9100344,4794215.41380464,10,USA,1,0.000140626684641233,0,0,1,
-9939267.1501874,5812129.89324026,11,USA,1,0.000140626684641233,0,0,0,
-9939137.19602833,5812968.87497216,12,USA,1,0.000140626684641233,0,0,0,
-10503097.6521419,4833260.02790081,13,USA,1,0.000140626684641233,0,0,1,
-10503195.2107317,4836562.53754477,14,USA,1,0.000140626684641233,0,0,1,
-10502504.7349412,4833943.68320632,15,USA,1,0.000140626684641233,0,0,1,
-10504386.8534542,4839935.58615187,16,USA,1,0.000140626684641233,0,0,0,
-10502363.7537426,4835890.90501783,17,USA,1,0.000140626684641233,0,0,1,
-10508149.4716214,4832575.08885992,18,USA,1,0.000140626684641233,0,0,1,
-10508400.7189958,4832931.72492076,19,USA,1,0.000140626684641233,0,0,0,
-10467644.0155351,4777726.60800599,20,USA,1,0.000140626684641233,0,0,1,
-10500992.9642242,4939484.30302373,21,USA,1,0.000140626684641233,0,0,0,
-9468236.92210205,4849156.46238106,22,USA,1,0.000140626684641233,0,0,0,
-8140071.26673276,4592048.07673847,23,USA,1,0.000140626684641233,0,0,1,
-10009467.3046119,4510646.35172332,24,USA,1,0.000140626684641233,0,0,0,
-8298676.79557327,4887915.83918757,25,USA,1,0.000140626684641233,0,0,1,
-9032785.3270156,4940909.36110876,26,USA,1,0.000140626684641233,0,0,0,
-10054025.238055,4811564.78760418,27,USA,1,0.000140626684641233,0,0,0,
-10161380.0646415,4647712.74872653,28,USA,1,0.000140626684641233,0,0,0,
-7681578.98397605,5552948.94636772,29,USA,1,0.000140626684641233,0,0,1,
-7680842.32981549,5553756.9588462,30,USA,1,0.000140626684641233,0,0,1,
-7678927.2356004,5551044.02533255,31,USA,1,0.000140626684641233,0,0,1,
-7671205.92405945,5550858.14593929,32,USA,1,0.000140626684641233,0,0,1,
-8175060.32370458,5233789.59432156,33,USA,1,0.000140626684641233,0,0,0,
-8677907.7399534,3876894.70537765,34,USA,1,0.000140626684641233,0,0,1,
-8680152.31340359,3867546.53439667,35,USA,1,0.000140626684641233,0,0,1,
-8679628.29070201,3879339.85171676,36,USA,1,0.000140626684641233,0,0,1,
-8678911.80048712,3868308.7873094,37,USA,1,0.000140626684641233,0,0,0,
-8687891.51942341,3870717.76597354,38,USA,1,0.000140626684641233,0,0,1,
-9555702.04486691,4067865.85259711,39,USA,1,0.000140626684641233,0,0,0,
-8142748.35807095,5012113.97251177,40,USA,1,0.000140626684641233,0,0,0,
-8954064.43053472,4896653.9154674,41,USA,1,0.000140626684641233,0,0,0,
-10267165.4608804,4302358.37288041,42,USA,1,0.000140626684641233,0,0,0,
-9131357.86715911,4892998.85794772,43,USA,1,0.000140626684641233,0,0,0,
-7423092.71027918,6172838.34674055,44,CAN,1,0.000140626684641233,0,1,0,
-9715591.720839,4460208.78729052,45,USA,1,0.000140626684641233,0,0,0,
-8068000.83405696,4904694.94663368,46,USA,1,0.000140626684641233,0,0,1,
-8067931.58425915,4906011.50910415,47,USA,1,0.000140626684641233,0,0,1,
-8066960.43673343,4905539.65629605,48,USA,1,0.000140626684641233,0,0,1,
-8069528.03221886,4903372.4596269,49,USA,1,0.000140626684641233,0,0,1,
-8069633.7463034,4903949.24645908,50,USA,1,0.000140626684641233,0,0,1,
-8070088.72526601,4904819.37422961,51,USA,1,0.000140626684641233,0,0,1,
-9099766.72437291,6025798.54002503,52,CAN,1,0.000140626684641233,0,0,0,
-7716250.10108991,4857311.47314204,53,USA,1,0.000140626684641233,0,0,1,
-7715951.2647822,4856965.86818849,54,USA,1,0.000140626684641233,0,0,1,
-7711133.50441912,4855164.24722213,55,USA,1,0.000140626684641233,0,0,1,
-7710419.51140376,4858044.75894707,56,USA,1,0.000140626684641233,0,0,1,
-7714937.82997014,4853510.2711868,57,USA,1,0.000140626684641233,0,0,1,
-7714915.93378608,4852985.14408471,58,USA,1,0.000140626684641233,0,0,1,
-7714463.2527532,4852308.23574462,59,USA,1,0.000140626684641233,0,0,1,
-7714783.37532878,4851843.20452515,60,USA,1,0.000140626684641233,0,0,1,
-7712335.89603163,4854041.56021879,61,USA,1,0.000140626684641233,0,0,1,
-7709985.25841508,4859369.24103051,62,USA,1,0.000140626684641233,0,0,1,
-8090041.17301488,5136731.07022517,63,USA,1,0.000140626684641233,0,0,1,
-9270805.86850476,4452328.64256845,64,USA,1,0.000140626684641233,0,0,1,
-9962863.37727277,4584838.87561174,65,USA,1,0.000140626684641233,0,0,1,
-9275372.79633465,4446406.87658771,66,USA,1,0.000140626684641233,0,0,1,
-9276410.07622557,4446217.16826887,67,USA,1,0.000140626684641233,0,0,1,
-9275538.39749105,4447074.53874261,68,USA,1,0.000140626684641233,0,0,1,
-9965569.20883067,4574092.8425335,69,USA,1,0.000140626684641233,0,0,1,
