lat,lon,State,panel.area,power,panels,landscape.area,water,urban,Address,demand_10km_MWh,demand_20km_MWh,demand_50km_MWh,land_cover,min distance to city (in miles),slope,elevation
38.4086017997997,-122.820162549308,CA,0.0002812533692824,,2.0,0.000101247149676,0.0,0.0,"390 Morris St, Sebastopol, CA 95472, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,12.3191,1,22
38.4450368999583,-122.730913700277,CA,0.0002812533692824,,2.0,0.0002881051162928,0.0,1.0,"1001 Kingwood St, Santa Rosa, CA 95401, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,2.2334,1,43
38.4262968999674,-122.740957799902,CA,0.0002812533692824,,2.0,4.28587507158518e-05,0.0,1.0,"1925 Sebastopol Rd, Santa Rosa, CA 95407, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,4.4751,1,38
38.4208862997186,-122.750983569521,CA,0.0014062668464123,,10.0,0.004640203071706,0.0,1.0,"2240 Mercury Way, Santa Rosa, CA 95407, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,6.173100000000001,0,33
38.4185635499195,-122.740708624786,CA,0.0005625067385649,,4.0,0.0006822707158327,0.0,1.0,"1891 Stony Point Rd, Santa Rosa, CA 95407, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,5.5242,1,36
38.4027094748299,-122.722290024796,CA,0.0005625067385649,,4.0,0.0014681261834502,0.0,1.0,"251 Bellevue Ave, Santa Rosa, CA 95407, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,6.555899999999999,0,35
36.6992903894634,-121.600316064715,CA,0.0004218800539236,,3.0,0.0146106406285763,0.0,1.0,"12 Saguaro Cir, Salinas, CA 93905, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,4.4734,1,36
33.6535552757157,-116.196133422412,CA,0.0025312803235421,,18.0,0.0670787860804014,0.0,0.0,"84-001 Avenue 54, Thermal, CA 92274, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,12.3662,0,-23
33.6511382893102,-116.143123289581,CA,0.0071719609167028,,51.0,0.0109191545752035,0.0,0.0,"MV24+FQ Coachella, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,17.6977,0,-35
33.6277631499983,-116.240717699974,CA,0.0002812533692824,,2.0,7.82152062430978e-05,0.0,0.0,"81600 Avenue 58, La Quinta, CA 92253, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,12.6356,0,-17
