lat,lon,elevation
37.40517629999997,-122.08476919999998,13
37.84717289999998,-122.27152950000001,29
37.15444970000003,-121.56023010000001,639
38.00698130000003,-122.086832,5
38.08988819999998,-122.14263510000002,17
37.97372949999998,-122.36385039999999,4
38.08629580000004,-122.1396794,12
38.43000169999998,-122.7255246,44
38.459120499999955,-122.7449891,38
38.436029000000005,-122.72238770000001,48
38.48886889999994,-122.7776581,42
38.453198000000036,-122.731544,43
38.42396340000002,-122.7807543,30
38.42710739999999,-122.7856681,28
37.941452099999985,-122.00772500000001,53
39.370373699999995,-123.30247090000002,496
33.837395499999914,-117.3716772,449
33.99447649999988,-117.4297158,266
37.75642025667449,-122.198718031487,4
37.70276560584292,-121.950435688049,181
38.4607367081012,-122.717165162035,49
38.443893374736454,-122.71619959231198,50
38.40246179565177,-122.821371878727,24
38.39354973025957,-122.81977408871899,36
38.40863964964388,-122.826312849093,29
38.40860179979966,-122.820162549308,22
38.445036899958296,-122.730913700277,43
38.426296899967376,-122.74095779990202,38
38.42088629971862,-122.750983569521,33
38.418563549919504,-122.740708624786,36
38.402709474829905,-122.72229002479601,35
36.699290389463364,-121.600316064715,36
33.653555275715696,-116.19613342241202,-23
33.65113828931019,-116.14312328958098,-35
33.62776314999829,-116.24071769997401,-17
33.69292590000002,-116.194270999999,-13
34.2441022871913,-118.47766874262399,272
39.65111587389352,-121.6482468678,106
35.2632776920968,-120.70799111287101,89
38.557023130308565,-121.748822494534,13
35.63711617006987,-120.85949296635799,427
35.65110794022537,-120.710920375324,315
36.23029489367904,-121.76639575708657,313
35.68982285633185,-120.59943629425801,245
35.6414436891662,-120.722658147069,379
35.592887273896736,-120.54712270736398,336
35.58650285873795,-120.554042214324,298
35.60990896401968,-120.58708482002501,331
35.571824664503815,-120.59464493427299,301
35.541005741736164,-120.576582985519,362
35.65698762558848,-120.596400315979,281
35.53358262888653,-120.61683999435199,353
35.48630865845163,-120.61289216453001,380
35.506973518643456,-120.65238049361601,265
35.50908574458018,-120.638165066928,311
35.656130064403136,-120.663555649891,238
35.075237304482314,-120.568855457214,96
35.095041757429534,-120.574011582934,97
35.08115871469085,-120.481960826257,259
35.067650530951624,-120.59604733406002,32
35.15966553791094,-120.600470144847,131
37.422233533591154,-122.0861838285,6
35.16704100444554,-120.54365629776001,163
35.5132898776585,-120.533863028517,357
35.50204917878748,-120.52260025772601,362
35.706822904999946,-120.57065258109,297
35.514848384216975,-120.73147969115999,357
35.079859275204704,-120.510695950612,136
35.06562674336982,-120.52086125740202,139
35.05428782334699,-120.52485189711301,122
35.03955258619723,-120.51451332791702,107
35.23976869994122,-120.67862149993202,40
35.253827030171884,-120.762803714927,405
35.22417411259718,-120.649763153833,51
35.13775152577885,-120.55498680945901,105
35.54237359830891,-120.72909063353599,277
35.39786384220905,-120.63140139018199,328
35.420148900670036,-120.618684244011,301
38.479303045695396,-121.47369102248501,6
35.27247229938439,-120.637095127178,175
35.56563908888771,-120.68566126134299,231
35.2592754786228,-120.626978577074,107
35.59230826181081,-120.636164390521,292
35.5829262221781,-120.707851920742,264
35.50318014713567,-120.470165088257,412
35.58459563874579,-120.608184169714,268
35.570844362330014,-120.637960884927,292
35.58808511872479,-120.66903523180102,267
35.742383994139715,-120.570572465161,318
35.71877120866282,-120.57195691516598,304
35.18121569309025,-120.56003492187699,146
38.645396428987326,-121.167423579759,77
37.89223566964468,-122.448683027934,39
35.210566990868905,-120.56055166902202,143
37.28372167151597,-122.054676734355,218
35.19298195091571,-120.710721811342,30
37.41113001881428,-121.98077112618901,3
35.38033927316015,-120.667943947525,387
35.19212508937124,-120.437426192245,206
35.51128838806967,-120.679543539646,270
35.51502408878358,-120.669504809633,245
37.502217598238985,-121.93894151712202,14
35.650342145017376,-120.85820853662301,542
35.09470974362566,-120.610630153319,7
35.49245011908322,-120.6303351051,389
35.49307720332644,-120.646898692663,256
35.47967710891969,-120.58007916357701,449
35.556738922674086,-120.51577167905,335
35.54761159161009,-120.509958373213,349
35.26270313066458,-120.696376870003,46
35.58054093909484,-120.80364535193301,359
35.231997503667046,-120.623081973076,74
35.65689750258152,-120.77719001502199,500
35.48724358812305,-120.881489799373,114
35.405592785713054,-120.80310423273401,245
35.518140096283815,-120.80123227268601,370
35.5357224417347,-120.80301016331201,419
35.67052852875392,-120.56657944330901,290
35.226100853936934,-120.672513585995,35
35.21672412177459,-120.618284809135,77
35.20913725980249,-120.60585500472402,82
35.1474583604834,-120.521311010359,160
35.151338617312085,-120.543505099117,125
35.107387174847716,-120.56694367303902,74
37.35435930346421,-121.905270439718,19
37.32031789747431,-121.86162642261002,33
37.28172303678252,-121.827188594556,50
37.320712482497505,-121.84753693998398,36
35.57643592109314,-120.79320351785599,350
35.476789982725684,-120.537587874261,395
37.34951550748847,-121.93558943862399,21
37.35035056034909,-121.925938400668,18
37.35010826032623,-121.87281290071,28
35.620182194850024,-120.61330628281202,264
35.61263531774619,-120.61333083532301,282
35.553156771229766,-120.66215132325499,281
37.99479946529958,-122.03517790126702,16
