lat,lon,slope
40.41799860132198,-124.47184414598433,0.0
40.457106779445134,-124.47184330572591,0.0
40.3984443447771,-124.45027206845177,0.0
40.41799843675208,-124.45027164454483,0.0
40.43755252872705,-124.45027122063784,0.0
40.4571066207021,-124.45027079673088,0.0
40.476660712677145,-124.45027037282392,0.0
40.496214804652176,-124.45026994891695,0.0
40.51576877661145,-124.45026953676305,0.0
40.37887690274701,-124.4287014151627,0.0
40.39843101716368,-124.4287014151627,0.0
40.41798513158032,-124.4287014151627,0.0
40.437539245996916,-124.4287014151627,0.0
40.45709336041356,-124.4287014151627,0.0
40.47664747483024,-124.4287014151627,0.0
40.49620158924688,-124.4287014151627,0.0
40.515755703663444,-124.4287014151627,0.0
40.535309818080115,-124.4287014151627,0.0
40.55486393249679,-124.4287014151627,0.0
41.8258787945049,-124.42870310267584,0.0
41.845433170806324,-124.4287031645549,0.0
41.86498754710766,-124.42870322643374,0.0
40.22244398741397,-124.40712885813694,0.0
40.24199810183064,-124.40712885813694,0.0
40.26155221624721,-124.40712885813694,0.0
40.28110633066384,-124.40712885813694,0.0
40.300660445080474,-124.40712885813694,0.0
40.32021455949715,-124.40712885813694,0.0
40.33976867391378,-124.40712885813694,0.0
40.359322788330424,-124.40712885813694,0.0
40.378876902747045,-124.40712885813694,0.0
40.398431017163695,-124.40712885813694,0.0
40.41798513158032,-124.40712885813694,0.0
40.437539245997,-124.40712885813694,22.0
40.457093360413594,-124.40712885813694,0.0
40.476647474830216,-124.40712885813694,0.0
40.4962015892468,-124.40712885813694,0.0
40.51575570366347,-124.40712885813694,0.0
40.5353098180801,-124.40712885813694,0.0
40.55486393249673,-124.40712885813694,0.0
40.57441804691332,-124.40712885813694,0.0
40.593972161329994,-124.40712885813694,0.0
41.78677002572291,-124.4071301382966,0.0
41.80632440234308,-124.40713021404063,0.0
41.82587877896317,-124.40713028978448,0.0
41.84543315558333,-124.40713036552809,0.0
41.86498753220343,-124.40713044127153,0.0
40.222443987413975,-124.38555630111117,0.0
40.24199810183061,-124.38555630111117,0.0
40.261552216247196,-124.38555630111117,0.0
40.28110633066387,-124.38555630111114,0.0
40.300660445080524,-124.38555630111117,0.0
40.320214559497096,-124.38555630111117,0.0
40.33976867391379,-124.38555630111117,0.0
40.35932278833037,-124.38555630111117,0.0
40.37887690274703,-124.38555630111117,0.0
40.39843101716367,-124.38555630111117,0.0
40.41798513158026,-124.38555630111117,16.0
40.43753924599695,-124.38555630111117,22.0
40.45709336041355,-124.38555630111117,8.0
40.47664747483025,-124.38555630111117,8.0
40.49620158924684,-124.38555630111117,0.0
40.51575570366342,-124.38555630111117,0.0
40.535309818080115,-124.38555630111117,0.0
40.55486393249675,-124.38555630111117,0.0
40.57441804691338,-124.38555630111117,0.0
40.59397216133,-124.38555630111117,0.0
40.61352627574665,-124.38555630111117,0.0
40.63308039016329,-124.38555630111117,0.0
41.78677000954365,-124.38555729767599,0.0
41.806324386482544,-124.38555738728465,0.0
41.82587876342143,-124.38555747689311,0.0
41.84543314036034,-124.38555756650133,0.0
41.86498751729916,-124.38555765610931,0.0
41.88454189423799,-124.38555774571707,0.0
40.20288987299732,-124.3639837440854,0.0
40.222443987413946,-124.3639837440854,0.0
40.24199810183058,-124.3639837440854,0.0
40.26155221624722,-124.3639837440854,2.0
40.28110633066389,-124.3639837440854,0.0
40.30066044508052,-124.3639837440854,0.0
40.32021455949713,-124.3639837440854,0.0
40.3397686739138,-124.3639837440854,1.0
40.3593227883304,-124.3639837440854,3.0
40.3788769027471,-124.3639837440854,13.0
40.3984310171637,-124.3639837440854,21.0
40.417985131580316,-124.3639837440854,20.0
40.43753924599696,-124.3639837440854,1.0
