,Longitude,Latitude,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
0,-116.1232669602395,33.80869445875801,1.0,361831.0,19.4705,19.4705,Indio,"(33.7346, -116.2346)",[19.4705],[361831],['Indio'],"[(33.7346, -116.2346)]",
1,-115.97225906105908,32.94831342442612,1.0,110434.0,101.61280000000001,101.61280000000001,El Centro,"(32.7865, -115.5595)",[101.61280000000001],[110434],['El Centro'],"[(32.7865, -115.5595)]",
2,-115.17407445110544,33.3393957127588,1.0,110434.0,128.1298,128.1298,El Centro,"(32.7865, -115.5595)",[128.1298],[110434],['El Centro'],"[(32.7865, -115.5595)]",
3,-121.9694299142244,37.954166715084426,1.0,640270.0,5.3229,5.3229,Concord,"(37.9722, -122.0016)",[5.3229],[640270],['Concord'],"[(37.9722, -122.0016)]",
4,-115.26036467920852,33.319841598342165,1.0,110434.0,68.5997,68.5997,El Centro,"(32.7865, -115.5595)",[68.5997],[110434],['El Centro'],"[(32.7865, -115.5595)]",
5,-119.9416095538016,35.275253040005566,1.0,142230.0,150.7946,150.7946,Santa Maria,"(34.9333, -120.4431)",[150.7946],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
6,-123.11277543659048,40.45709336041358,1.0,121498.0,119.9892,119.9892,Redding,"(40.5698, -122.365)",[119.9892],[121498],['Redding'],"[(40.5698, -122.365)]",
7,-116.08012184618796,35.333915383255466,1.0,361831.0,336.55,336.55,Indio,"(33.7346, -116.2346)",[336.55],[361831],['Indio'],"[(33.7346, -116.2346)]",
8,-115.84282371890444,32.88965108117622,1.0,110434.0,39.5604,39.5604,El Centro,"(32.7865, -115.5595)",[39.5604],[110434],['El Centro'],"[(32.7865, -115.5595)]",
9,-114.74262331058992,33.92601914525782,1.0,361831.0,193.9931,193.9931,Indio,"(33.7346, -116.2346)",[193.9931],[361831],['Indio'],"[(33.7346, -116.2346)]",
10,-120.93394717698725,36.58537870592004,1.0,199290.0,112.6124,112.6124,Salinas,"(36.6883, -121.6317)",[112.6124],[199290],['Salinas'],"[(36.6883, -121.6317)]",
11,-116.08012184618796,34.21933086150733,1.0,361831.0,116.2897,116.2897,Indio,"(33.7346, -116.2346)",[116.2897],[361831],['Indio'],"[(33.7346, -116.2346)]",
12,-115.43294513541473,32.71366405142651,1.0,110434.0,24.6095,24.6095,El Centro,"(32.7865, -115.5595)",[24.6095],[110434],['El Centro'],"[(32.7865, -115.5595)]",
13,-122.09886525637906,39.38161706749871,1.0,112132.0,66.469,66.469,Chico,"(39.7578, -121.8161)",[66.469],[112132],['Chico'],"[(39.7578, -121.8161)]",
