Latitude,Longitude,State,panel.area,power,panels,landscape.area,water,urban,Address,demand_10km_MWh,demand_20km_MWh,demand_50km_MWh
44.95435,-93.0111155,MN,0.0001406266846412,,1.0,0.0,0.0,1.0,"2105 Wilson Ave, St Paul, MN 55119, USA",4974154.736842105,4974154.736842105,4974154.736842105
42.0193113,-97.3988096,NE,0.0001406266846412,,1.0,0.0,0.0,0.0,"1200 S Chestnut St, Norfolk, NE 68701, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2662689999999,-97.744536,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"105 W 4th St, Austin, TX 78701, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.1887439999999,-97.740387,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"5605 Nuckols Crossing Rd, Austin, TX 78744, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2865529999999,-97.771631,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"2502 W 12th St, Austin, TX 78703, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.1950639999999,-97.728814,TX,0.0001406266846412,,1.0,0.0,0.0,0.0,"4701 Brook Crest Rd, Austin, TX 78744, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2150389999999,-97.837513,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"7008 Greenock St, Austin, TX 78749, USA",4974154.736842105,4974154.736842105,4974154.736842105
31.8585244999999,-108.3200851,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"VM5H+CX Hachita, NM, USA",4974154.736842105,4974154.736842105,4974154.736842105
40.0179604,-95.9425541,NE,0.0001406266846412,,1.0,0.0,0.0,0.0,"63375 703 Trail, Du Bois, NE 68345, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.9902623,-104.929028,CO,0.0001406266846412,,1.0,0.0,0.0,0.0,"X3RC+49 Air Force Academy, CO, USA",4974154.736842105,4974154.736842105,4974154.736842105
33.8373954999999,-117.3716772,CA,0.0001406266846412,,1.0,0.0,0.0,0.0,"RJPH+X8 Lake Mathews, CA, USA",4974154.736842105,7477742.736842105,10053412.736842105
38.9578842,-106.9885996,,0.0001406266846412,,1.0,0.0,0.0,0.0,"Gothic Townsite, Colorado 81611, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.1856062,-111.7443962,AZ,0.0001406266846412,,1.0,0.0,0.0,0.0,"57P4+66 Flagstaff, AZ, USA",4974154.736842105,4974154.736842105,4974154.736842105
39.0615262,-94.5807929,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"401 E 36th St, Kansas City, MO 64109, USA",4974154.736842105,4974154.736842105,4974154.736842105
39.0731986,-94.5857523,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"2940 Main St, Kansas City, MO 64108, USA",4974154.736842105,4974154.736842105,4974154.736842105
39.0690151,-94.5722984,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"1006 Linwood Blvd, Kansas City, MO 64109, USA",4974154.736842105,4974154.736842105,4974154.736842105
39.0498025,-94.5929009,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"520 W 43rd St, Kansas City, MO 64111, USA",4974154.736842105,4974154.736842105,4974154.736842105
39.0549155,-94.5966673,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"819 W 40th St, Kansas City, MO 64111, USA",4974154.736842105,4974154.736842105,4974154.736842105
39.0626293,-94.6058146,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"3549 Bell St, Kansas City, MO 64111, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.6422374,-90.260501,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"4616 Lindell Blvd, St. Louis, MO 63108, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.6391849,-90.2555841,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"4415R Laclede Ave, St. Louis, MO 63108, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.6232737,-90.1918282,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"5 Clark Ave, St. Louis, MO 63102, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.6487143,-90.195312,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"1301 N Market St, St. Louis, MO 63106, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.6086684,-90.2295314,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"2901-2907 Shenandoah Ave, St. Louis, MO 63104, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.6040317,-90.2271194,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"2753 Lynch St, St. Louis, MO 63118, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.5980551,-90.219047,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"3015 Salena St, St. Louis, MO 63118, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.5939494,-90.2208825,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"3319 Wisconsin Ave, St. Louis, MO 63118, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.6133597,-90.2012816,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"1408 S 10th St, St. Louis, MO 63104, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.660414,-90.1956782,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"3500 N 9th St, St. Louis, MO 63147, USA",4974154.736842105,4974154.736842105,4974154.736842105
41.1382787999999,-95.9079777,NE,0.0001406266846412,,1.0,0.0,0.0,1.0,"1019 Parkway Dr, Bellevue, NE 68005, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.1179751,-106.5954109,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"3106 Montclaire Dr NE, Albuquerque, NM 87110, USA",4974154.736842105,4974154.736842105,4974154.736842105
36.2600057,-115.1685177,NV,0.0001406266846412,,1.0,0.0,0.0,1.0,"1849 Arrow Stone Ct, North Las Vegas, NV 89031, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.0671748,-106.6229841,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"1212 Wilmoore Dr SE, Albuquerque, NM 87106, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.0655477,-106.6341099,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"1111 University Blvd SE, Albuquerque, NM 87106, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.0729014,-106.6276965,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"CNM - Ken Chappy Hall, 901 Buena Vista Dr SE, Albuquerque, NM 87106, USA",4974154.736842105,4974154.736842105,4974154.736842105
36.1670073,-115.1486425,NV,0.0001406266846412,,1.0,0.0,0.0,1.0,"495 S Main St, Las Vegas, NV 89101, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.1593098,-106.6063012,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"1605 Villa Camilla NE, Albuquerque, NM 87113, USA",4974154.736842105,4974154.736842105,4974154.736842105
39.0987531,-94.5432839,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"3228a E 12th St, Kansas City, MO 64127, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.1276011,-106.5995004,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"4000 Hilton Ave NE, Albuquerque, NM 87110, USA",4974154.736842105,4974154.736842105,4974154.736842105
39.0277229,-94.5839315,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"318 E 55th St, Kansas City, MO 64113, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.0574714,-106.5624108,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"3C4Q+X2 Kirtland Air Force Base, Albuquerque, NM, USA",4974154.736842105,4974154.736842105,4974154.736842105
39.1061009,-94.535919,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"3838 Independence Ave, Kansas City, MO 64124, USA",4974154.736842105,4974154.736842105,4974154.736842105
38.9885957,-94.5755797,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"7621 Troost Ave, Kansas City, MO 64131, USA",4974154.736842105,4974154.736842105,4974154.736842105
