,Longitude,Latitude,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
4418,-116.59786321480657,34.94283309492279,1.0,389060.0,105.9399,105.9399,Victorville,"(34.5277, -117.3536)",[105.9399],[389060],['Victorville'],"[(34.5277, -117.3536)]",
4419,-121.36539831750272,35.76410590042141,1.0,199290.0,241.4998,241.4998,Salinas,"(36.6883, -121.6317)",[241.4998],[199290],['Salinas'],"[(36.6883, -121.6317)]",
4420,-122.5734615109461,38.20837020250067,2.0,400326.0,34.017300000000006,36.2271,Santa Rosa,"(38.4458, -122.7067)","[34.017300000000006, 36.2271]","[314196, 86130]","['Santa Rosa', 'Napa']","[(38.4458, -122.7067), (38.2975, -122.301)]",
4421,-122.27144571258526,40.37887690274704,1.0,121498.0,24.955,24.955,Redding,"(40.5698, -122.365)",[24.955],[121498],['Redding'],"[(40.5698, -122.365)]",
4422,-114.67790563951262,33.18296279742572,1.0,110434.0,130.5444,130.5444,El Centro,"(32.7865, -115.5595)",[130.5444],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4423,-123.11277543659048,37.79773379975135,1.0,3290197.0,94.2834,94.2834,San Francisco,"(37.7558, -122.4449)",[94.2834],[3290197],['San Francisco'],"[(37.7558, -122.4449)]",
4424,-121.9694299142244,36.82002807891965,1.0,165933.0,30.6353,30.6353,Santa Cruz,"(36.9789, -122.0346)",[30.6353],[165933],['Santa Cruz'],"[(36.9789, -122.0346)]",
4425,-118.2373775487654,33.75003211550811,2.0,561669.0,11.297600000000001,12.606200000000001,Long Beach,"(33.7977, -118.167)","[11.297600000000001, 12.606200000000001]","[466565, 95104]","['Long Beach', 'Carson']","[(33.7977, -118.167), (33.8374, -118.2559)]",
4426,-124.21297584490496,41.33702850916211,1.0,121498.0,281.0415,281.0415,Redding,"(40.5698, -122.365)",[281.0415],[121498],['Redding'],"[(40.5698, -122.365)]",
4427,-119.31600540005414,34.258439090340595,1.0,110572.0,7.6596,7.6596,San Buenaventura,"(34.2741, -119.2314)",[7.6596],[110572],['San Buenaventura'],"[(34.2741, -119.2314)]",
4428,-118.45310311902315,33.4567203992586,0.0,,,,,,[],[],[],[],0.0
4429,-120.35148813729133,35.60767298508834,1.0,142230.0,126.5175,126.5175,Santa Maria,"(34.9333, -120.4431)",[126.5175],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4430,-124.018822831673,40.51575570366348,1.0,121498.0,223.11260000000001,223.11260000000001,Redding,"(40.5698, -122.365)",[223.11260000000001],[121498],['Redding'],"[(40.5698, -122.365)]",
4431,-122.50874383986876,41.49346142449518,1.0,121498.0,126.5299,126.5299,Redding,"(40.5698, -122.365)",[126.5299],[121498],['Redding'],"[(40.5698, -122.365)]",
4432,-122.3145908266368,37.62174677000164,1.0,105087.0,6.65,6.65,San Mateo,"(37.5522, -122.3121)",[6.65],[105087],['San Mateo'],"[(37.5522, -122.3121)]",
4433,-118.49624823307472,33.96512737409108,2.0,201034.0,7.0733999999999995,14.9627,Santa Monica,"(34.0235, -118.481)","[7.0733999999999995, 14.9627]","[92828, 108206]","['Santa Monica', 'Inglewood']","[(34.0235, -118.481), (33.9566, -118.3444)]",
4434,-123.06963032253891,38.30614077458384,1.0,314196.0,43.496300000000005,43.496300000000005,Santa Rosa,"(38.4458, -122.7067)",[43.496300000000005],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
4435,-124.3424111870596,40.65263450457992,1.0,121498.0,269.664,269.664,Redding,"(40.5698, -122.365)",[269.664],[121498],['Redding'],"[(40.5698, -122.365)]",
4436,-123.04805776551314,37.79773379975135,1.0,3290197.0,94.2834,94.2834,San Francisco,"(37.7558, -122.4449)",[94.2834],[3290197],['San Francisco'],"[(37.7558, -122.4449)]",
4437,-121.45168854560582,35.84232235808795,1.0,199290.0,257.9434,257.9434,Salinas,"(36.6883, -121.6317)",[257.9434],[199290],['Salinas'],"[(36.6883, -121.6317)]",
4438,-124.38555630111117,41.86498959841123,1.0,121498.0,365.76279999999997,365.76279999999997,Redding,"(40.5698, -122.365)",[365.76279999999997],[121498],['Redding'],"[(40.5698, -122.365)]",
4439,-117.46076549583752,33.24162514067563,1.0,174461.0,19.1403,19.1403,Oceanside,"(33.2247, -117.3083)",[19.1403],[174461],['Oceanside'],"[(33.2247, -117.3083)]",
4440,-120.91237461996144,37.191556252835696,1.0,103359.0,55.3549,55.3549,Turlock,"(37.5053, -120.8588)",[55.3549],[103359],['Turlock'],"[(37.5053, -120.8588)]",
4441,-122.50874383986876,37.48486796908521,1.0,104914.0,25.618599999999997,25.618599999999997,Daly City,"(37.6862, -122.4685)",[25.618599999999997],[104914],['Daly City'],"[(37.6862, -122.4685)]",
4442,-119.48858585626034,34.84506252283962,1.0,198240.0,134.17770000000002,134.17770000000002,Santa Barbara,"(34.4285, -119.7202)",[134.17770000000002],[198240],['Santa Barbara'],"[(34.4285, -119.7202)]",
4443,-124.1914032878792,41.317474394745474,1.0,121498.0,280.9421,280.9421,Redding,"(40.5698, -122.365)",[280.9421],[121498],['Redding'],"[(40.5698, -122.365)]",
4444,-117.30975759665712,32.98742165325939,1.0,114858.0,19.169700000000002,19.169700000000002,Carlsbad,"(33.1246, -117.2834)",[19.169700000000002],[114858],['Carlsbad'],"[(33.1246, -117.2834)]",
4445,-124.14825817382764,40.848175648746256,1.0,121498.0,237.06070000000003,237.06070000000003,Redding,"(40.5698, -122.365)",[237.06070000000003],[121498],['Redding'],"[(40.5698, -122.365)]",
4446,-124.21297584490496,40.14422752974743,1.0,121498.0,359.9156,359.9156,Redding,"(40.5698, -122.365)",[359.9156],[121498],['Redding'],"[(40.5698, -122.365)]",
4447,-119.31600540005414,34.02378971734099,1.0,366330.0,8.6156,8.6156,Oxnard,"(34.1964, -119.1815)",[8.6156],[366330],['Oxnard'],"[(34.1964, -119.1815)]",
4448,-118.64725613225514,33.47627451367524,0.0,,,,,,[],[],[],[],0.0
